stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,immune,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,32.29,222.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7,208.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,68.42,0,0,0,3.8,18.98,0,0,0,104.68,31.87,0,136.48,0,0,0,0,0
 10-12,0,5.72,15.25,0,3.93,4.92,0,0,0,28.97,0,0,55.14,0,0,0,0,0
 14-21,0,0,0.95,1.43,0,0,0,0,0,2.6,0,0,6.23,22.15,1.16,2.18,0,0
 24-34,0,0,0,0.66,0,0,0,1.5,0,1.94,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.83,0,0,0,0,8.8,0,0,0,0,0,5.98,0,0
 48-58,0,0,0,0,0,0,0,2.82,0.69,0.41,0,0.47,0,0,0,0.86,2.43,0
 60-70,0,0,0,0,3.6,0,0,0,0.69,0,0,0.88,0,0,0,0,0,0
 72-82,0,0,0,0,1.82,0,0,0,0,0,0,1.77,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,6.07,0.78,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.3,0,0,0,0.67,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,1.39
120,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0
