stage,axial,blastomeres,endoderm,eye,hatching.gland,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,0,72.09,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.32,77.44,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.45,0,0,49.79,0,0,0,13.38,0,0,0
 10-12,0,0,3.62,5,0,0,18.56,9.86,0,0,4.01,0,0,0
 14-21,0,0,0,0,0,0,4.32,0,0,0.8,0,1.61,0.84,0
 24-34,0,0,0,0,0,0.82,4.3,0,0,0,0,0,0.87,1.4
 36-46,0,0,0,0,0,0,3.26,0,2.02,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.85,0,1.2,0,0,0,0,0
 72-82,0,0,0,0,0,1.41,2.33,0.58,4.85,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0
 96-106,0,0,0,0,1.32,0,3.87,0,2.74,0,0,0,0,0
108-118,0,0,0,0,0,0,5.03,0,0.46,0,0,0,0,0
120,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0
