stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,213.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.15,173.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.18,4.35,0,4.6,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.3,104.27,0,0,197.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.65,0,51.31,0,0,0,33.25,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,604.14,275.28,0,0,829.98,0,0,7.99,22.99,0,15.7,0,0,0,0,0
 14-21,0,0,4.55,7.15,123.65,22.4,0,11.18,0,0,0,56.68,40.43,0,0.96,0,1.08,0,15.04,0,0,15.68,0,0,12.73,1158.16,109.84,12.2,44.18,14.64,2.9,1.53,464.05,36.63,0,270.43,707.34,0,0,1.12,0
 24-34,0,0,3.22,8,58.77,0,0,30.06,0,0.62,0.61,151.25,0,0,0.67,0,13.38,0.89,121.38,0,0.98,30.57,0.68,0,11.77,1906.83,5.7,61.51,52.48,0,0,0,0,18.66,0,54.17,872,0,0,9.25,4.77
 36-46,0,0,6.67,0.56,16.01,0,0,15.71,0,0,0.65,206.65,3.07,0,0,0,14.85,2.24,80.79,1.15,2.66,10.85,0.71,0,1.67,1092.92,1.44,56.28,40.96,0,4.93,0,0,9.28,1.18,0,663.2,0,0,2.7,9.19
 48-58,0,0,1.09,2.15,14.34,0,0,33.3,0.57,1,0.57,180.81,4.38,14.36,0,0,7.88,15.38,90.14,0.37,3.84,9.97,0,0,1.39,345.3,0,52.07,42.5,0,3.58,0,0,5.5,0,0,353.56,0,0.4,0.63,4.1
 60-70,0,0,1.56,0,13.64,0,0,71.09,0,0,0,110.24,6.61,6.32,0,0,7.15,8.45,93.45,0,0,8.82,2.29,0,1.41,141.69,0,34.8,46.69,0,0,0,0,0.62,0,0,121.06,7.08,0,0.6,0
 72-82,0,0,7.37,0,2.95,0,0,90.95,0,0,0,97.41,13.39,1.63,1.84,0,9.54,5.85,127.7,0,0,18.12,1.52,2.09,0,74.91,0,63.69,65.14,0,0.79,0,0,3.54,0,0,19.45,23.83,0,2.04,0
 84-94,0,0,16.27,0,9.71,0,0,87.8,0.56,0,0,59.92,46.19,4.81,0,0,16.18,10.55,146.28,7.29,0,7.27,0,2.13,0,53.13,0,117.55,43.39,0,0,0,0,1.94,0,0,24.56,97.44,1.06,8.8,6.75
 96-106,0,0,15.62,0,16.93,8.18,1.14,145.63,1.02,0,0,64.29,47.6,0,0.8,2.57,8.93,12.3,173.43,0,0,10.3,0,0,0,107.19,0.59,113.15,52.65,0,8.08,0,0,1.6,0,0,3.46,219.5,0,10.65,0
108-118,0,0,6.9,0.77,8.84,0.55,0,150.42,1.5,0,0,44.97,69.98,0,0,0,18.08,25.41,152.44,2.32,0,19.19,2.56,0.69,0,84.29,0.43,93.6,60.5,0,6.86,0,0,3.11,0,0,1.65,241.23,0,3.56,0.46
120,0,0,7.43,0,13.29,0,0,26.41,2.79,1.44,0,73.55,72.91,0,0,0,26.35,8.71,70.61,11.04,0,34.3,0,0,3.2,107.95,0,165.95,74.84,0,2.58,2.5,0,2.91,0,0,0,130.42,0,0,0
