stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,138.56,2503.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.89,0,0,0,0,0,0,0,0,0,0
  5-6,77.21,1286.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.48,0,0,0,17.56,0,834.67,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.33,0,0,0,41.7,0,0,0,0,0,17.42,0,0,0,0,0,0,0,0,0,0,0,197.45,0,0,0,60.39,0,278.54,10.61,0,0,0,0,0,0,0,0,0
 10-12,0,6.19,0,41.82,0,0,0,3.11,0,0,0,0,0,48.75,0,0,0,0,0,0,0,0,0,0,0,588.21,11.25,0,0,51.27,0,102.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.52,24.38,462.53,5.5,0,0.9,0,6.22,0,0,32.93,26.3,0,0,82.51,0,0,0,0,0,6.9,0,5.45,20.92,14.42,9.33,33.3,0,0,471.97,0.9,2.5,3.54,0,3.43,3.94,0,0,0,0
 24-34,0,0,1.49,6.07,87.93,0,0,1.5,0,10.22,0,1.87,5.08,0,0,0,50.34,0,17.23,0,0,2.42,21.01,0,0.79,132.08,2.7,78.37,14.17,0,0,458.03,0.86,0,2.54,0,0,3.85,0,0,0,0
 36-46,0,0,0,0.96,28.89,0,0,1.66,0,2.87,1.19,0.68,1.44,0,0.65,0,5.37,0,6.61,0,1.58,0.73,3.39,0,0,93.53,0,50.98,12.66,0,0,528.48,0,0,3.52,0,0,10.38,0,0.82,0,1.52
 48-58,0,0,0,0,45.41,0,0,7.93,0,10.26,0,1.39,0.85,2.7,0,0,11.42,0.83,14.54,0,0,1.95,12,0,2.14,56.3,0,21.61,14.04,0,0,308.76,0,0,0,0,0,10.77,0,0,0,0
 60-70,0,0,0,0,68.47,0,0,13.2,0,13.7,0,2.08,1.28,7.56,0,0,10.16,0,6.9,0,0,6.93,8.52,0,0,27.68,0.8,18.27,7.19,0,0,377.97,0,0,0,0,0,2.19,4.11,0,0,0
 72-82,0,0,1.47,0,53.37,4.25,0,9.84,0,2.9,0,2.02,19.28,0.6,0,0.55,20.08,0,19.82,0,0,4.56,13.33,1.28,2.41,42.57,0,37.25,27.05,0,0,320.74,0,0,0.58,3.45,0,3.98,15.21,0,0,0
 84-94,0,0,5.67,0,122.42,0,0,15.91,0,24.84,1.36,0,32.59,1.3,0,0,38.53,7.42,19.09,2.07,0,2.65,25.32,0,0,34.45,0,38.93,16.74,0,0,888.75,1.4,0,3.17,0,0,10.78,38.08,0,0,0
 96-106,0,0,2.29,0,186.12,1.41,0,20.03,0,43.98,0,12.57,48.37,0,0,4.93,47.38,0,43.7,8.31,0,13.91,50.13,0,0,57.76,0,58.81,48.6,0,0,1007.97,0,0,2,0,0,0,37.11,1.59,0,0
108-118,0,0,2.88,0,215.22,10.12,1.67,11.96,0.46,54.47,4.73,9.61,43.72,0,0,2.81,52.49,0,29.99,0,0,12.65,59.6,0,0,44.49,0,38.91,39.61,0,1.02,923.5,0,0,0.51,0,0,1.46,36.13,3.29,2.42,5.35
120,1.12,0,0,0,160.15,0,0,7.77,0,63.89,0,12.23,35.59,0,0,1.38,24.77,0,19.19,8.61,0,13.92,35.17,0,0,35.52,3.31,72.33,48.05,0,0,536.55,0,0,7.2,1.63,0,0,5.51,0,0,0
