stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0
 14-21,0,1.41,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.92,1.99,0,0,0,0,0,0,3.9,0,0,0,0,3.62
 24-34,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,1.18,0,0,0,0
 48-58,0,0,0,0,9.74,0,0,0,0.71,0,0,0,0,0,0,2.22,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,190.13,0,0,0,0,0,0,0,1.4,0,0,16.02,0,0,0,5.04,0,0,0,0,0,0,0,2.22,0,0,0,0
 72-82,0,0,2.05,0,476.56,0,0,1,1.79,0,0,0,0,0,0,6.61,0,0,0,57.43,2.3,0,0,0,0,0,0,0.84,0,0,0,0
 84-94,0,0,0,0,704.76,0,0,0,1.76,0,0,0,0,0,0,3.31,0,1.04,0,16.36,0,0,0,0,2.41,0,0,3.6,0,0,0,0
 96-106,0,0,34.25,6.05,2019.5,16.13,0,0,15.08,0,0,1.58,0.87,3.22,0.69,19.52,0.71,2.64,1.13,45.72,0,1.54,3.15,0,4.82,0,0,0,0.98,0,6.79,6.38
108-118,0.8,0,1.65,7.36,2373.64,0,0,0,17.1,0,1.27,0.69,0,1.22,0,46.31,0,0,6.91,68.91,0,0,0,0,7.61,2.63,0,3.77,0,1.16,1.23,4.63
120,8.41,0,22.93,10.25,4672.43,0,4.42,0,3.7,5.2,0,4.17,3.52,2.46,0,64.42,0,15.34,15.49,218.76,0,0,0,0,7.53,1.02,0,13.33,0,0,0,2.85
