stage,epidermis,exocrine.pancreas,eye,fin.mesenchyme,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord
 14-21,3.31,0,0,0,1.28,0,0,0.83,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,6.69,2.9,0,0,0,0,0,0,1.36,0.66
 36-46,0,0,0,0,1.59,0,1.93,0,0,0,0,0,0,0,0
 48-58,0,0,2.36,0.66,1.24,0,0,6.14,0,0,7.45,0,0,0,0
 60-70,0,0,0,0,3.2,0,0,0,1.04,0,0,0,0.64,0,0
 72-82,0,0,0,0,0.98,0,0,0,1.13,0,0,0,0,0,0
 84-94,0,0,0,0,10.96,0,0.74,0,0,0,0,1.27,0,0,0
 96-106,0.71,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,9.45,0,0,3.57,0,0,1.28,0,0.77,0,0,0,0,0
120,0,3.41,0,0,0,0,0,0,4.51,0,0,0,0,0,0
