stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0.9,11.08,0,3.85,1.66,0,0,0,0.9,0.85,58.42,1.23,0,0,0,2.53,4.72,18.06,0,0,0
 24-34,0.59,0,0,11.14,1.68,0,0,0,6.44,2.18,118.14,0.65,0.79,0,0,0,0,16.99,0,0,0
 36-46,0,0.57,0,11.4,4.13,0,0,0,10.16,0,83.66,0,0,0,0,0,0,11.32,0.62,0,0
 48-58,0,2.03,0,20.23,2.18,0,0,0,2.96,8.69,48.61,0,0,0,0,0,0,3.4,0,2.12,0
 60-70,0,0.63,0,21.76,4.55,0,0,0,13.11,0,16.2,0,0,1.65,0,0,0,3.41,0,0.71,0
 72-82,0,0,0,10.59,0.86,0,0,1.35,5.29,0.73,18.56,0,0,1.77,0,0,0,1.38,0,0.77,0
 84-94,0,1.99,2.21,9.59,4.63,3.01,0,0,3.24,1.3,15.78,0,0,0,0.81,0,0,0,0,0,0.89
 96-106,0,0,0,5.03,2.05,0,0.79,0,0,0,6.65,0,0,0,0,0,0,1.13,0,0,0
108-118,0,0.67,0,6.33,0,0,0,0,5.51,0.89,8.81,0,0,3.05,0.98,0,0,0,0,0.63,0
120,0,0,0,25.1,2.94,0,0,0,4.22,0,7.07,0,0,0,0,0,0,0,0,0,0
