stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,22.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.53,140.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,38.58,0,3.4,0,0,0,92.48,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,445.42,7.9,0,0,111.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.4,0,13.24,0,0,0,72.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.68,8.87,0,0,133.48,0,0,5.33,0,42.49,0,0,0,0,0,0
 14-21,0,0,0,1.04,41.6,3.69,0,8.8,0,0,2.5,3.39,0,0,0,1.15,0,0,0,13.44,0,0,8.66,175.33,0,0,3.14,2.75,0,2.75,0,8.92,1.79,1.92,29.35,0,0,0,0
 24-34,0,0,0.75,3.41,11.77,0.79,0,14.99,0,0,3.01,0.67,0.76,0,0,1.1,0,1.26,0,8.28,0.84,0,0.98,167.99,0,1.55,4.15,0,0,5.24,0,0,0.63,0.7,38.18,0,2.04,0,0
 36-46,0,0,0,0,6.57,0,0,11.38,3,0,1.35,0,0,0,0,1.21,0,0,0.57,4.58,0,1.06,0,52.71,0,1.65,1.39,0,0,21.03,0,0,0,0,18.26,0,0,0,1.02
 48-58,0,0,0,0,5.18,1.83,0,8.77,0,0.73,0.48,0.61,0,0,0,0,0,0.65,3.02,5.57,0,0.38,2.32,38.4,0,0,1.14,0,0,5.9,0,0,0,0,10.87,0,0.48,0,0
 60-70,0,0,0,0,1.93,0,0,8.5,1.84,0,7.76,0,0,0,0,0,0,0,1.35,10.68,0,0,1.65,35.45,0,0,0,0,0,2.69,0,0,0,0,12.6,0,0,0,0
 72-82,0,0,2.12,0,3.16,0,0,8.02,0,0,2.6,2.9,0,0,0,2.11,0,0,1.26,17.39,0,0,1.03,25.83,0,0,1.16,0,0,0,0,0,0,0,5.32,0,0,1.14,0
 84-94,0,0,0,0,2.19,1.35,0,8.4,4.7,0.65,10.98,0,0,0,0,0,0,0,0,6.55,0,0,0.57,40.34,1.05,1.39,6.25,0,0,2.42,0,0,0,0,1.09,0,0.57,1.89,0
 96-106,0,0,0.81,0,7.6,0,0.59,15.53,5.87,0,7.89,1.1,0,0.97,1.52,0.74,0,0,0,9.12,2.61,0,0,18.91,0.57,1.89,3.19,0,0,3.2,0,0,0,0,0,0,0.61,1.12,0
108-118,0,0,0.57,0,10.52,0,0,5.79,1.15,0,9.11,0.53,0,0,0,2.14,0.42,4.34,0,23.69,0,0,0.49,33.44,1.42,0.83,3,0,1.57,3.14,0,0,0.42,0,1.33,0,0.43,0,0
120,0,0,0,0,17.84,2.78,0,9.75,1.39,0,22.09,3.85,0,0,4.21,1.1,0,5.28,0,20.05,0,0,2.23,82.95,0,0,1.98,0,0,15.14,0,0,0,0,1.57,1.63,7.63,0,0
