stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,119.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,206.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.45,9.7,0,13.14,0,0,6.74,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,135.77,0,0,0,64.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.54,0,0,0,42.56,0,0,0,19.75,0,0,0,0,0,0,0
 14-21,0,0,0,2.03,28.53,9.05,24.78,0,0,0,26.1,0,0,0,0,1.92,0,0,0.88,21.91,0,0,15.32,395.67,3.89,0.94,4.01,14.85,0,1.09,55.26,1.87,0,23.94,138.19,0,0,0,0
 24-34,0,0,2.32,0,1.48,1.09,29.08,0,2.28,2.71,7.22,0,0,0,0,0,0,0,0.95,30.97,0,1.63,13.37,337.63,1.98,2.58,1.31,0,0,2.14,3.14,0.6,0,7.16,80.82,0,1.38,0,0
 36-46,0,0,0,0,2.21,1.23,71.45,0,5.75,1.79,23.41,0,0,0,0,0,0,0,0,17.36,1.78,0.67,8.64,200.02,15.53,1.09,0,0,0,0,0,0,0.67,0,64.77,0,2.5,0,1.44
 48-58,0,0,0,0,2.53,0,93.2,0,0,1.33,6.82,0,0.93,0,0.39,2.63,5.18,1.3,0,22.41,0,0,4.71,139.01,0,5.87,1.77,0,0,0.52,0,0,0,0,38.23,0,0,0,0
 60-70,0,0,0.57,0,3.9,10.5,146.67,0,0,0.6,14.8,5.39,0,0,0,0,0,0,0,20.89,0,0,8.23,146.91,0,1.91,14.2,0,0,0,0,11.51,1.45,0,38.18,0.9,0,0,0
 72-82,0,0,0.53,0,0.76,0,82.64,0,6.12,9.38,21.85,1.04,0.65,1.19,0.49,0,0,0,4.28,38.14,0,0,3.54,133.07,0,8.26,2.5,0,2.75,0,0,0,0,0,28.76,0,3.64,1.55,3.9
 84-94,0,0,0.66,0,5.7,0,30.83,0,0,0,20.67,0.71,0,0,0,0,0,0,0,20.01,0,2.35,8.48,42.48,0,6.7,0,0,0,0,0,0,0,0,7.55,0,1.92,0,0
 96-106,0,0,0,0,3.17,4.04,61.81,0,0,0,24.1,4.3,0,1.54,2.12,1.06,0,0.65,0,22.47,1.5,0,6.36,37.66,0,5.2,2.13,0,0.97,2.04,0,0,0,0,9.27,0,0.56,1.42,0
108-118,0,0,0,0,0.81,5.73,69.97,0.54,0,2.55,30.69,3.37,0,0,0,0,0.86,0,0,30.54,0,3,6.54,96.24,0.67,4.49,3.43,0,0,1.45,0,0,0,0,3.72,1.35,2.49,3.26,2.41
120,0,0,2.94,0,1.49,1.88,44.44,0,1.11,6.89,56.06,0,0,14.96,0,4.13,0,0,0,78.64,0,11.03,8.35,73.73,0,1.09,3.14,0,0,0,0,0,0,0,1.34,0,3.65,0,6.17
