stage,endocrine.pancreas,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,neural,otic,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,3.23,0,0,0
 14-21,0,0,2.2,0,0,0,0,0,1.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,14.33,0,6.07,0
 36-46,0,0,2.8,1.3,0,0,0,0,92.2,0,24.7,0
 48-58,0,0,24.21,0,0,0,0,0,249.73,0,31.85,0
 60-70,0,0,159.84,1.36,0,0,0,0.78,493.64,0,88.05,0
 72-82,0.64,0,107.15,8.79,0,0,0,0,548.65,0,53.32,0
 84-94,0,1.12,90.34,3.75,0,2.93,0,0,287.04,0,32.4,0
 96-106,0,2.2,91.34,2.91,0,0,0.66,0,313.8,0,11.44,4.84
108-118,0,0,64.78,0.6,1.58,0,0,1.22,234.74,1.13,11.04,0
120,0,2.55,89.67,10.13,0,0,0,0,383.92,0,20.54,0
