stage,gut,neural,periderm,spinal.cord,vasculature
 10-12,0,3.73,0,0,0
 24-34,0,0,0.94,1.92,0
 48-58,0,0.95,0.38,0,0
 72-82,0,0.54,0,0,1.16
 84-94,0.63,0,0,0,0
