stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0
  5-6,84.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.72,4.14,0,0,24.95,0,7.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.73,0,0,0,28.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.01,0,0,1.05,0,0,0,3.56,0.85,0,0,0,0,0,0,0,0,1.34,0,0,0,246.87,0.87,3.26,0,0,0,0,2.22,2.38,0,159.66,0,0,0,0,0
 24-34,0,0,0,8.68,0.94,0,31.68,0,0.62,0,2.28,0.67,2.27,0.89,0,6.3,0,0,5.54,13.98,3.4,0,0,3.99,2331.79,0,102.8,0.64,0,0,1.56,0,5.92,0,525.62,0,0,3.69,0,0
 36-46,0,0,0,5,1.25,0,409.69,0.68,0,0,7.23,0,0,0,0,1.85,0,0,15.36,50.49,20.76,4.32,0.68,0.79,6942.95,1.31,87.8,0.64,0,0,12.79,0,8.19,0,1074.51,0,0,0,0,0
 48-58,0,0,0,11.63,2.37,0,1111.04,0.67,0,8.65,68.8,1.21,0,0,1.07,1.68,5.61,1.36,0.37,66.25,29.13,2.22,6.01,4.18,8135.21,0,80.39,0,0,0,11.08,0,1.3,0,1235.47,0,0,4.82,0,2.96
 60-70,0,0.7,0,13.71,1.23,0,2202.47,0.85,6.66,10.97,71.46,2.02,0,0,13.45,0,10.04,0,5.68,7.12,30.05,1.09,6.7,0,8673.13,0,74.79,0,0,0,1.87,0,1.27,0,1089.06,0,2.21,0.59,0,18.1
 72-82,0,0,0,37.19,6.73,0,2367.97,0,6.38,0.75,88.26,6.48,0,0.58,2.12,2.52,10.85,1,14.91,11.32,87.63,1.52,0,3.57,6538.15,0,63.17,0.75,0,3.07,5.91,0,1.12,0,494.77,0.91,2.03,15.52,3.21,9.63
 84-94,0,0,0,27.51,1.05,7.27,1784.54,0.7,0,0,82.26,11.74,0,1.72,7.7,2.92,13.85,0,24.79,19.4,66.14,0,3.99,6.44,4486.74,0,58.11,0,0,0,12.55,0,9.1,0,391.53,0,1.22,2.95,3.19,14.13
 96-106,0,1.98,0,21.05,15.65,4.18,1228.07,1.35,0,9.39,66.86,3.88,0,0.58,3.81,2.62,17.41,1.2,12.12,15.23,59.48,0.56,0,1.32,3508.02,0.62,70.78,1.13,0,1.6,14.22,0,4.53,0,180.15,5.97,0.78,2.56,0.61,13.75
108-118,0,0,0.63,47.22,6.76,2.56,1478.44,0.5,0.95,0,67.07,2.53,0,0.49,6.49,5.41,10.59,0.92,28.96,4.08,30.85,1.27,6.88,3.8,4888.14,0,74.5,0,0,2.45,0.83,0,6.02,0,133.17,0.89,0,7.4,2.82,1.44
120,0,0,0,40.18,8.15,1.71,1362.64,1.26,0,10.14,73.4,0,0,0,9.19,1.25,8.88,0,27.41,1.33,83.51,0,0,3.94,7035.52,0,78.25,14.75,0,0,9.58,0,9.35,3.26,110.99,0,8,1.32,0,0
