stage,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24,10.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,15.05,0,0,0,0,0,0.96,0,0,0,0,0.8,0,0,4.68,0,0.93,0,0,0,0,2.95,3.97,0,0,0,0
 24-34,0,0,7.28,2.71,0,1.58,0,4.76,0,0,1.46,0,0,5.92,0,1.04,24.39,1.29,0,0,0,0,0.63,0.84,5.9,0,0,0,0
 36-46,0,0,2.35,5.55,0,6.52,0,0,0,1.47,0,0,0,0.94,1.14,1.68,30.16,0.64,0,0,0,8.03,2.28,0,8.57,0.85,0,0,0
 48-58,0,0,4.07,5.78,0,1.47,0,2.97,0,0.78,0,2.29,0.46,4.45,0,2.49,63.33,0,0,0.39,0,0,0,0,4.91,0,0,0,0.51
 60-70,0,0,4.64,15.78,0,6.84,3.35,2.58,0,0,0,0,0,7.58,0,0,40.98,0,0,0.78,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.33,5.22,7.37,0,0,2.82,2.18,0,0,0,0,2.41,0,0.84,27.87,0,0,5.26,0,0,0.73,0,2.42,1.32,0.76,0,0
 84-94,0,0,6.53,2.55,0,2.66,0,3.11,3.03,0,0,0,0,0,0,0,32.1,4.96,0,1.56,0,0,1.56,0,2.16,0,0,0,0
 96-106,0.91,0,7.73,7.52,0,3.42,0,2.69,0,0,0.89,0.99,0,0,0,0,14.76,0.61,0,1.59,0,0,0,0,0,0,0,0.93,0
108-118,0,0,8.28,0,0,11.86,0,3.07,1.38,0,0.5,0,1.59,1.58,2.49,1.02,12.95,0,0,0.63,0,0,0,0,5.3,0,0,0,0
120,0,0,19.23,7.1,1.18,3.52,0,0,0,0,0,0,0,0,0,0,32.91,0,0,1.86,9,0,0,0,0,0,0,0,0
