stage,epidermis,eye,fin_mesenchyme,immune,mesenchyme,neural,periderm,vasculature
 24-34,0,0,0,0,0,0.88,0,0
 36-46,0,0,0,5.73,0,1.56,0,0
 60-70,0,0,0,2.83,0,0,0,0
 72-82,0,0.55,0,4.24,0,0,0,0
 84-94,0,0,0,3.9,0,0,0,0
 96-106,0.59,0,7.99,6.91,1.08,0,1.24,0
108-118,0,0,0,11.72,0,0,0,0
120,0,0,0,6.25,0,0,0,1.25
