stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.3,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,27.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0
 48-58,0,0,0,0.46,0,105.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,12.25,0,0,0,0,0,0,0
 60-70,0,0,0,8.22,0,682.72,0,0,0,0,0,0,0,0.71,0,0,0,0,8.74,0,0,0,20.74,0,0,0,0,0,0,0
 72-82,0,0,3.28,4.06,0,1109.34,0,0,2.95,0,0,1.28,0,0,0,0,0,0,5.16,0,5.33,1.4,31.73,0,0.76,0,0,9.04,0,0
 84-94,0,0,3.95,1.22,0,1212.88,0.76,0,5.84,4.25,0,0,2.24,0,0,0,0,4.67,6.41,3.24,0,2.05,20.43,0,0,5.34,0,8.88,0,0
 96-106,0,0,7.35,38.01,1,1017.04,0.86,0,4.24,0,0,0,3.95,0.81,0.66,0.63,6.49,0,9.55,0,0,0,25.6,0,0,3.75,0.9,0,3.79,2.34
108-118,0,0,2.12,1.44,0,883.47,0,1.28,1.28,0,0,1.02,0,0,0,0,0,0,3.83,0,0,0,29.74,0.45,0,1.1,0,0,0,0.59
120,0,0,7,3.79,0,931.32,0,0,28.09,0,0,0,0,0,0,0,0,0,9.51,1.46,0,0,12.98,0,0,5.23,1.32,8.04,0,0
