stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,581.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.73,644.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.32,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.4,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,32.19,0,0,0,23.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.73,0.89,48.89,0,0,0,0,0.82,0,0,0,0,0,0,0,0,18.58,1.14,0,2.85,12.42,69.44,0,0,0.95,0,0,1.08,2.09,0,0.84,0,0,0,0,0
 24-34,0,0,0,0,35.8,3.48,136.49,0,0.92,3.13,0,1.02,0,2.59,0,0,1.14,0.82,0,2.18,372.36,0,0,34.27,143.58,94.56,0,3.08,0,0,0.84,0,10.78,1.26,21.14,0,0,1.01,0,0
 36-46,0,0,0,0,22.88,2.92,85.48,0.87,15.45,30.16,0.93,0,0,4.34,0,0,12.95,0,0,0,709.78,1.31,6.09,57.63,96.57,44.9,0,4.05,0,0.97,0,0,39.38,1.02,31.02,0,0,2.04,0,4.66
 48-58,0.77,0,0,0,7.51,0,61.73,4.22,12.2,54.28,0,0,0,4.56,0,0,0,0,1.84,0,561.7,0,1.92,36.62,99.13,20.47,0,7.27,0,1.01,0.47,0,67.86,0,30.83,0,0,1.18,0,0
 60-70,0,0,0,0,10.29,0,24.4,10.83,0,60.85,1.38,0,0,0,0,0,0,0,0,0,668.87,0,6.1,24.03,61.71,0.98,1.29,9.22,0,0,0.81,0,51.99,0,16.71,0,6.61,1.56,4.64,0
 72-82,0,0,0,0.75,2.17,0,39.69,11.34,0,52.66,3.72,0,0,0,0,0,0,0,3.49,0,717.55,0,1.68,47.88,50.02,5.64,0.6,5.95,1.13,0,0,0,26.34,0,16.9,0,5.41,2.5,2.31,0
 84-94,0,0,1.29,0,5.18,0,57.72,14,0,61.4,7.49,0,0,3.69,0,0.56,0,2.18,0,0,509.2,0,5.7,21.52,58.37,0.74,0,8.89,0,0,0,0,38.09,0,10.22,0,4.06,5.41,12.36,0
 96-106,0,0,0,0,1.97,0,33.23,21.71,0.83,25.95,2.12,0,0,2.28,2.7,0.74,0,2.06,0,0,512.26,0,10.13,18.48,80.14,0,0,9.34,0,6.45,1.75,0,41.53,0,0.57,0,3.64,2.96,3.27,0
108-118,0,0,0,0,2.68,1.33,37.07,19.12,0.42,29.82,6.92,0.43,0,0,2.08,0,0,0.43,0.7,0,537.09,6.55,11.53,19.55,33.18,0,0.53,11.52,0,3.04,3.72,0,39.4,0,8.99,1.01,3.46,0.43,2.01,0
120,0,0,0,0,0,0,13.01,18.58,0,52.07,0,0,0,0,1.11,0,0,0,0,0,465.52,0,0,37.54,77.3,0,0,4.07,0,0,12.94,1.12,24.06,0,8.37,0,5.53,0,9.17,0
