stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,46.57,0,0,0,0,0,0
 14-21,0,3.73,193.74,0,1.14,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0,3.87,1.88,0,0,1.07,0,0,0,0,3.35,0,0,133.03,0,0
 24-34,0,0.6,54.67,0,1.19,0,0,3.55,0,0,0.98,0,1.9,0.83,0,0,91.53,0,0,92.67,12.57,0,0,0.74,0,3.53,0,0,4.4,0,0,467.74,0,0
 36-46,0,13.93,9.45,0,2.59,0,4.2,53.9,0.96,0,2.74,0,0,0,3.21,0,427.57,0,6.98,223.23,65.14,0.65,0,0,0,0,0,0,6.66,0,0.62,253.84,5.43,0
 48-58,0,3.61,0,0,9.54,0,0.37,113.75,0.42,0,4.19,0,0,0,0,0,912.38,0,16.15,192.83,55.35,0,0,0,1.29,2.78,0,0,12.98,0,3.17,194.8,3.72,2.92
 60-70,0,6.62,0,0,21.88,0,1.98,146.41,0.66,0,0,0,0,0,0,2.4,1268.73,0.64,43.86,203.84,41.63,0,0,0,49.44,0,0,0,0,0,39.18,167.84,17.78,0
 72-82,0,8.55,0,0,45.82,0,0.58,191.24,7.19,2.53,5.2,0.49,0,0,0,0,1473.39,0,83.43,180.33,64.25,0,1.28,6.63,85.37,3.3,0,0,1.06,0,84.14,197.85,44.14,5.89
 84-94,0,14.74,0,0,60.82,0.56,8.24,151.36,0,0,5.69,0,0.73,0.62,0,1.81,1149.17,0,106.83,147.45,29.52,0,2.94,8.32,78.64,1.77,0,8.39,4.15,0,93.56,183.71,51.43,0
 96-106,0,19.81,0,0,55.29,0,5.25,158.11,1.11,1.21,14.24,0.81,0,0,5.25,1.8,1155.14,4.41,102.58,199.21,148.83,0.58,1.65,0,246.56,2.96,0,2.32,4.78,0,45.73,242.12,41.01,6.97
108-118,0.49,30.37,1.57,0.78,44.7,0.64,5.85,173.01,5.76,0.85,6.67,0.69,0,2.2,0,0,1282.24,0,113.61,174.13,45.79,0,0,0,260.38,2.83,0,0.83,3.89,1.01,35.21,167.92,67.92,0
120,0,28.61,4.24,0,29.38,0,4.87,132.4,0,0,5.26,2.44,0,0,0,0,1015.53,0,122.04,134.9,150.53,0,0,0,386.59,1.14,0,0,0,0,40.13,169.46,25.45,0
