stage,epidermis,eye,glial,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,8.11,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.6,4.57,0,0,0
 36-46,0,0.58,0,0,0,0,0,3.33,0,1.11,3.08,0,0
 48-58,0,1.18,0,0,0,0,0,1.03,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.6,0,2.48,0,0,0
 72-82,0,0.56,0,0.89,2.26,0.66,0,0,0,0,0,3.34,0
 84-94,0.89,0,0,0,0.62,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.25,0,0,2.19,0,6.05,1.71,0,1.01
108-118,1.15,0,0.77,0,0,0,0.44,1.32,0,0,0.47,0,0
120,0,0,0,0,0,0,0,0,0,0,9.34,0,0
