stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,21.51,59.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,10.21,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0.88,0,0,0,0,0,0,0,19.2,0.83,0,0,0,0.9,1.75,0,12.29,0,0,0
 24-34,0,0,0.66,2.62,0,4.97,0,0,0,0,1.19,0,0.78,159.81,0,7.08,0,1.64,0,0,0,34.25,0,0,0
 36-46,0,0,0,0,0,21.61,0,1.06,0,0,0,5.07,0,536.99,0,9.07,0,0,0,0,0,66.55,0,0,0
 48-58,0,0,0,10.29,0,39.63,0,3.23,0,0,0,1.04,0,542.43,0,1.91,0,0,0,0,0,115.43,0,0,0
 60-70,0,0,1.19,0,0,26.12,0,6.94,0,0,0,1.68,0,492.94,0,1.76,0,0,0,0,0,81.88,0,0.92,0
 72-82,0,0,2.27,2.99,0,49.71,0.87,3.8,0,0,0,0.54,0,475.79,0,10.98,0,1.01,0,0,1.5,38.36,0,0,6.68
 84-94,0,0,1.23,0,9.53,63.48,0,1.52,0.84,0,0,4.45,0.8,441.35,0.76,10.52,0,2.29,0,0,0,37.36,0,8.39,0
 96-106,0,0,1.41,3.04,0,34.15,0,7.34,3.68,0.73,0,4.1,3.61,319.15,0,5.38,0,0.56,0,0,0,17.16,2.19,0,0
108-118,0,0,0,0,0,57.48,0,5.72,2.02,0,0,0.44,0.53,342.45,0,3.93,0,1.24,0,0,0,11.39,1.56,0,0
120,0,0,0,0,1.79,87.19,0,11.56,17.13,0,0,27.31,0,693.45,0,12.05,0,1.17,0,0,0,0,0,0,0
