stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4.76,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.8,0,0,0,0,1.79,0.82,2.18,0,0,0,0,0
 24-34,0,3.15,0,0,4.17,0,0,0,0,0,0,0.6,0,0,2.06,0,0.62,4.74,0,1.77,33.26,0,0,0,0,1.6,0,7.13,0,0,6.04,0,0
 36-46,0,10.36,0,0,10.18,1.39,0.72,0,0,0,0,0,0,0,0,0,0,6.2,0,1.21,67.64,0,1.94,0.57,0,3.79,0,13.57,0,0,0.67,0,0
 48-58,0.54,2.63,0,0,26.14,0,0,6.86,0,0.54,0.48,0,0,0,0.4,0,0,6.07,0,0.66,101.02,0,1.95,0.41,0,1.78,0,13.5,0,0,0,0,0
 60-70,0,2.9,0,0,36.76,0,0,7.94,0,0,0,0.92,0,3.44,0,0,0,11.33,0,0,64.83,0,1.8,1.01,0,1.37,0,2.96,0,0,0,0,0
 72-82,0.95,0.95,2.02,0,70.8,1.43,0,16.35,0,0,0,5.57,0,1.38,0,0,0,10.52,0,3.82,114.48,0,3.03,0.71,0,4.79,0,21.5,0,0.52,1.29,0,0
 84-94,0,1.52,0,0,52.56,0,0.65,10.47,0.57,0,0,0,0.86,2.09,0,0,0,28.71,0,0,64.18,0,0,1.24,2.68,2.44,0,0,0.6,0,0,0,0
 96-106,0,6.25,0,0.71,74.66,0,1.52,8.48,0,0,0,0.72,0,0,0,0,0,9.85,0,0.76,115.96,0,2.42,0,0,7.41,0,0,0.87,0.66,4.04,2.3,0
108-118,0,3.32,0,0,32.9,0,0,4.94,0.49,0,0,3.39,2.21,0.56,0,0,0,12.56,2.36,1.32,56.89,0,2.38,0,0.87,3.55,0,0,1.58,0,9.2,0,0.79
120,3.99,3.89,0,0,36.14,0,0,0,0,0,0,0,3.6,0,0,3.61,0,13.27,0,0,55.33,5.36,0,0,0,19.63,0,0,0,0,2.17,0,0
