stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,olfactory,somites
  3-4,0,30.95,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.34,90.14,10.68,0,0,0,0,17.63,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.45,0,0,0,0,0,19.88,0,0
 10-12,0,0,7.72,0,0,0,0,0,0,0,0,40.94,0,0
 14-21,0,0,0,8.99,0.92,0,0,0,0,0,0.88,0,0,0.93
 24-34,0,0,0,2.44,0,0.78,0,0,0,0,0,0.69,28.08,0
 36-46,0,0,0,0,0,0,0,0,0,0.99,0,6.46,32.28,0
 48-58,0,0,0,0,0,0,1.69,0,0,0,0,0,52.79,0
 60-70,0,0,0,0,0,0,0,0,0,2.02,0,2.02,9.11,0
 72-82,0,0,0,0.51,0,0,0.81,0,1.06,0,0,8.51,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0
 96-106,0,0,0,0,5.76,0,0,0,0,2.85,0,8.32,146.34,0
108-118,0,0,0,0,0,0,0,0,0,0,0,4.68,77.12,0
120,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0
