stage,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pronephros,somites,spinal.cord
 14-21,1.03,0,1.91,0,0,0,2.67,0,0,0.9,1.03,5.9
 24-34,0,0.65,6.87,0,0,0,13.67,0,0,0,0,12.89
 36-46,0,0,0,0,0,9.59,13.36,0,0,0,0,8.15
 48-58,0,2.34,1.65,0,0.83,0,10.03,0,0.91,0,0,0.48
 60-70,0.71,5.24,1.08,0,4.15,0,12,0,0,0,0,6.69
 72-82,0,0,0,1.02,1.87,0.51,2.75,0.49,0,0,0,0
 84-94,0,0,0,0,0,0,4.83,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.5,0,0,0,0,6.23
108-118,0,0,0,0,5.95,0,4.39,0,0,0,0,0
120,0,0,0,0,0,0,21.53,0,0,0,0,0
