stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0.88,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0.83,0,0,0
 24-34,1.03,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,1.38,2.01,0
 36-46,0.63,0,0,0,0,0,0,0.7,0,2.69,0.61,0,0,0,0,2.23,0,0
 48-58,0,0,0.83,0,0.37,0,0,1.16,0,2.24,0,0,0,0.57,0,0,0,0
 60-70,0,0,0.99,0,0.79,0,0,4.56,0,3.66,0,0.96,0,3.07,0,0,0,0
 72-82,0,0,1.56,0,0,0,0.65,0,0,9.2,0,0,0,0,0,0,0,0
 84-94,0.7,1.07,1.19,0.75,0,0,0,0,0,11.31,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.85,0,0,0,0.78,0,0,0,0,1.22,0,0,0,0.67
108-118,1.02,0,0,0,0.54,1.72,0,3.11,0,4.99,0,0,0.56,0,0,0,0,0
120,0,0,0,0,3.8,0,0,0,0,8.18,0,0,0,0,0,0,0,0
