stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.27,0,0,0,0,0,0,0,0,0,0
  5-6,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,269.77,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.76,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,103.61,0,0,0,35.53,0,494.28,0,0,0,0,0,0,0,0,0,0
 10-12,3.69,0,17.64,0,0,0,13.27,0,0,0,0,52.92,0,0,0,0,0,0,0,0,0,389.85,18.34,0,0,134.09,0,281.12,0,0,20.9,0,0,0,0,0,0,0
 14-21,0,0,0,180.98,1.77,0,1.58,0,0,0,0,11.03,0,0,20.11,0.92,3.57,0,10.54,11.27,6.85,54.44,1.96,1.08,99.84,0,0,1838.16,0.91,0.83,0,3.57,5.98,0,0,0,0,0
 24-34,0,0.8,0,219.49,0,0,1.75,0.85,0,2.71,0,5.82,0,0,71.76,47.03,4.75,2.19,10.87,20.04,6.91,88.44,0,36.72,160.99,0,0,1206.75,0,0,1.45,1.38,11.15,0,0,0.91,0,0
 36-46,0,0,0,144.63,0.92,0,13.37,3.64,0,0,0,0,0,0,30.78,20.82,0,0,1.49,23.71,0,78.46,0,17.92,76.3,0,0,1491.05,0,0,0,0,20.66,0,0,2.96,0,8.19
 48-58,0,0,0,72.25,0,0,10.28,3.41,0,2.18,0,16,0,0,5.95,15.05,0,0,6.03,14.32,1.58,79.38,0,10.79,49.51,0,0,678.12,0,0,0,0,12.87,0,0,3.47,0,1.02
 60-70,0,0,0,74.21,0,0,17.7,10.67,0,2.32,0,30.88,0.7,0,16.18,11.68,0,0,15.06,7.95,0.57,55.61,0,7.72,55.55,0,0,650.44,0,0,0,0,3.14,0,0,0,0,0
 72-82,0,1.39,0,72.14,0.83,0,26.7,3.3,0.76,2.9,10.86,3.78,0,0.52,22.51,36.06,2.13,0,19.68,15.67,0,119.84,0,6.61,83.19,0,1.06,439.66,0,0,0,0,8.87,0.67,0,1.08,0,5.72
 84-94,0,0,0,129.88,4.25,0,23.78,25.43,0,1.17,5.82,8.52,0,0.69,45.03,46.66,0,0,25.94,37.17,0.71,81.45,0,21.94,102.49,0,0,1453.81,0,0,0,0,1.56,19.32,0,5.65,0,0
 96-106,0,4.55,0,135.25,19.87,0,54.63,16.16,0.74,19.87,16.06,0,2.53,0,52.32,92.59,1.95,0,12.84,25.08,4.6,105.77,0.57,37.86,151.7,0,1.11,771.92,0,0,0,0,3.93,10.74,0,0,0.68,0
108-118,0,0.71,0.46,173.76,4.49,0.48,42.05,34.13,0,13.95,19.7,0,0,0,59.79,61.07,8.12,0,20.84,24.99,0,134.63,0.93,32.55,164.55,0,0,920.2,0,0,0,0,0,22.74,0.43,0.96,0,0
120,0,0,0,111.85,1.8,0,5.07,11.51,0,7.22,15.34,0,0,10.09,20.9,54.14,0,0,12.77,18.37,0,124.63,0,14.28,98.69,0,0,381.23,0,0,0,0,0,7.52,0,0,0,0
