stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0,0,4.39,0,0,0,0,0,0,0
 14-21,0,1.09,0,0,64.84,0,0,0,0,0,0,0,1.78,0.82,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,947.44,2.31,0,0,0.97,0.69,0,1.06,58.6,0,0,0,0,0.69,7.76,0,0,0,0
 36-46,0,0.57,0,0,1076.01,1.83,0,1.3,0,1.81,0,0,30.03,0,0,0,0,0,8.03,0,1.37,0,8.82
 48-58,0,0,0,0,746.75,0,0,0,0,5.38,0,0,28.19,0,0,0,0,0,2.45,0,2.37,0,5.16
 60-70,0,0,0,0,448.39,1.28,0,0,0,2.6,0,0,12.92,0,0,0,0,0,2.38,0,0,0,0
 72-82,0,1.12,0,0,341.98,4.22,0,0,0,2.52,0,0,5.7,0,0.95,0,0,0,8.06,0,0,0,0
 84-94,0,9.38,2.83,0,347.73,0,1.09,0.72,0,7.03,0,0,5.92,0,0,0,0,0,0,0.64,0,0,5.71
 96-106,0,4.34,0,7.53,329.48,0,0.93,0,0,4.28,1.47,0,3.53,0,3.55,0,3.56,0,0,0,0,0,0
108-118,0,2.76,1.71,0,379.08,0.71,0,1.03,0,6.57,0,1.14,12.52,0.77,0,0,0,0,0,0,0,0.68,0
120,0,0,1.53,0,357.95,0,1.74,0,0,3.99,0,0,1.59,2.43,0,0,0,0,0,0,0,0,0
