stage,epidermis,eye,glial,heart,immune,iridophores,liver,mesenchyme,muscle,neural,presomitic_mesoderm,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.18,1.12,2.37,3.52,0
 36-46,0,0,0,0,0,0,0,0.62,0,0,0,1.07,5.22
 48-58,0,0.91,0,0,0,0,4.36,0,0,0,0,0,0
 60-70,0,0,0.63,0,1.78,0,10.89,0.82,0,0,0,0,1.18
 72-82,0,0.64,0,0,0,0,1.95,0,0,0.6,0,0,0
 84-94,0,0,0,0,2.24,0.75,0,0,0,4.82,0,0,0
 96-106,0.59,0,1.31,0.99,2.09,0,0,0,0,2.81,0,0,1.29
108-118,0,0,0,0,1.07,0,0,1.53,0,0,0,0,2.16
120,0,0,0,0,40.19,0,0,0,0,17.04,0,0,0
