stage,blastomeres,erythrocytes,exocrine_pancreas,eye,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vasculature
  5-6,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,14.35,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.19,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,1.84,0
 36-46,0,0,0,0,0.86,0,3.45,0,4.9,0.63,15.86,0,0,1.22,0,0,2.57,0
 48-58,0,0,0,1.58,0.7,0,0.43,0.46,0,0,6.34,0,1.16,0,0,0.93,2.39,0
 60-70,0,0,0,5.27,1.54,0.65,0.58,0,0,0,8.07,0,0.84,0,0,0,1.2,0
 72-82,0,0,0,6.54,1.82,7.01,0,0,0,0,8.1,0,0.79,0,0,0,0,0.49
 84-94,0,0,0,15.11,1.63,0,0,0,0,0.74,2.81,0,0,0,0,0,6.25,0
 96-106,0,5.59,0,8.6,4.69,0.75,1.69,0,0,0,5.23,0,0,0,0,0,0,0
108-118,0,0,0.66,4.61,0,0,0,0,0,0.48,0.55,0,0,0,0,0,0,0
120,0,0,0,28.08,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0
