stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,157.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.81,13.86,0,16.98,0,0,0,19.68,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,160.32,13.23,0,0,66.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.39,0,50.84,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.86,74.63,0,0,42.22,0,0,13.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.85,186.53,11.98,0,7.75,0,0,0,29.6,6.01,0,0,0,0,0,0,0,0,48.8,0,0,11.26,230.91,228.6,9.91,25.42,3.35,0,6.47,0,0,7.44,434.1,0,0,0,0,0
 24-34,0,0,1.63,11.29,182.92,2.17,0,37.99,0,0,0.61,101.55,0.91,0,3.39,0,6.29,0,3.01,1.6,0,403.3,0,0,110.66,1737.48,162.7,35.04,64.13,0,0,59.92,3.97,0,0,856.76,0,0,6.87,0,0
 36-46,8.46,0,0,0,153.56,0,0,30.02,0,2.05,4.58,72.89,0,0,2.58,0,0.77,0,2.2,0,0,1232.26,1.37,17.17,92.93,1465.39,30.3,28.87,46,0,0,90.19,1.46,2.9,0,986.22,0,1.99,15.13,1.55,0
 48-58,0,0,0,0.5,149.72,3.66,0,106.61,0.58,0.92,12.83,145,0,1.12,3.07,0,0.4,4.49,0.72,0,0,1847.76,0,71.48,76.47,899.96,10.99,15.36,101.28,0,1.29,28.98,1.38,1.79,0,560.08,0,9.47,17.44,0.97,6.81
 60-70,0,0,0.89,0,120.55,0,0,108.93,0,2.72,0.87,194.07,0,0,1.17,0,4.55,0,3.75,2.74,0,2424.67,0.85,187.18,72.71,867.54,12.67,20.38,60.52,0,10.97,9.12,1.82,0,0,253.38,1.11,57.86,51.95,26.17,6.94
 72-82,0,0,0.87,0,115.79,16.54,0.76,166.87,2.64,11.79,3.43,270.48,1.85,0,0.53,4.11,3.69,1.66,2.09,2.73,0,3421.4,0,164.35,74.51,843.21,1.2,28.96,56.14,0,19.8,3.34,2.01,0,0,140.6,3.86,70.25,76.17,112.81,9.75
 84-94,11.09,0,0,0,197.41,2.19,0,190.68,2.6,2.72,11.39,260.86,2.29,0.71,5.33,2.61,7.87,2.61,0.73,3.63,0,2581.46,0.57,144.34,59.46,542.56,2.04,18.57,52.42,0,6.17,17.63,4.84,0,0,111.91,5.13,83.72,58.37,81.98,0
 96-106,0,0,0.9,0,195.74,10.6,3.86,165.56,5.04,5.68,0,382.9,4.34,0,0.78,7.94,6.58,1.06,5.44,1.59,0,1957.55,3.03,109.52,50.31,418.5,0,32.56,60.64,0,34.93,7.3,1.3,0.96,0,45.03,5.44,46.28,51.35,147.39,2.23
108-118,0,0,0.71,0.49,171.28,7.94,0.55,144.17,0,3.51,13.93,274.13,1.35,0,7.77,3.9,18.65,2.33,0.43,4.07,2.19,1938.4,2.61,57.78,57.04,524.83,1.14,17.81,92.76,0,43.54,1.73,0,0,0,51.07,4.72,29.59,52.65,160.89,1.16
120,0,0,0,0,103.85,6.81,0,120.39,3.17,10.05,5.33,448.57,12.01,0,6.03,7.03,17.13,0,3.28,0,0,1967.34,2.98,58.5,71.41,670.5,0,27.56,87.26,10.96,27.16,2.03,3.15,2.35,0,56.02,3.47,44.79,39.68,351.13,0
