stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,82.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,12.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,78.92,0,0,0,7.91,0,4.12,0,0,0,0,0,0
 14-21,0,0,3.99,0,0,0,0,0,0,2.89,2.02,34.08,2.52,0,0,0,1.56,0,0.87,658.86,0,0,0,0
 24-34,0,1.56,0,0,0,0,0,0,2.05,2.51,0.82,103.9,3.06,0,0,0,4.06,0,0.6,334.39,0,0,0,0
 36-46,0,0,0,0.81,0,30.36,0,0,0,0.66,0.55,83.31,2.49,0,0,0,7.35,0,0,148.12,0,0,0,0
 48-58,0,0,0,1.98,0,1.84,0,0,0,0.65,0.86,20.07,0.99,0.91,0,0,0,0,0,217.03,0,0,0,0
 60-70,0,0,0,0.83,0,1.09,0,0,0,0,0,34.06,0,5.88,0,0,0,0,0,49.99,0,0,0,6.61
 72-82,0,0.71,0.82,11.85,0,14.11,0,0,0,0,0,71.11,0,2.49,0.65,0,1.34,0,0,213.74,0,0,0,0
 84-94,0,0,0.68,24.59,0,32.54,0,0,0,1.65,0,298.51,0,0,0.59,0,0,0,0,87.82,0,0,0,0
 96-106,0,0,0,18.41,0,49.44,0,0.87,0,3.88,0,6.42,0,7.04,1.68,0,0,0,0,159.43,0.83,0,0,0
108-118,0,0,7.67,0.5,0,9.49,0,1.26,0,4.41,0,56.41,0,4.68,0,0,0,0,0,110.7,0,1.98,0,0
120,0,0,0,7.49,5.69,158.17,4.6,0,0,17.99,0,89.4,0,0,2.84,0,0,0,0,206.71,0,0,2.7,0
