stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  5-6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,3.85,0,0,0,0,5.02,0,0,0,0,3.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,6.87,0,0,0
 14-21,0,0,0,0.99,1.76,0,0,0,0,0,0,1.14,5.07,0,0,1.69,3.5,0
 24-34,0,0,0,0,2.37,0,1.28,0,0,0,0.67,0,19.28,0.61,0,1.4,1.59,0.65
 36-46,0,0,0,0,1.52,0,0,0,0,0,1.69,0,10.54,0,0,0,8.51,0
 48-58,0,0,0,0,5.61,0,0.81,0,0,1.05,0,0,17.02,0,0,0,1.9,0
 60-70,0,0,0,0,9.84,0,0,0,0,0,3.62,0,8.92,0,0,0,0,0
 72-82,0,0,0,0,2.29,0,0,0,0.88,0,0.81,0,7.32,0,0,0,3.75,0
 84-94,0,0,0,0,9.01,0,0,0,0,0,0,0,4.03,0,0,0,0.87,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.84,0,2.39,0,0,0,0,0
108-118,0,0,0,0,0,0.85,0,0,0,0,5.91,0,3.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0
