stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,776.89,19474.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261.37,0,0,0,0,0,0,0
  5-6,484.87,6258.41,20.52,0,0,0,0,0,0,0,0,19.06,0,0,0,0,0,0,291.43,0,0,0,20.12,137.62,0,0,0,0,0,0,0
  7-9,63,37.79,108.88,0,0,85.08,0,0,0,0,0,101.74,0,0,0,0,0,0,1260.1,41.93,0,0,282.51,7.3,0,0,0,0,0,0,0
 10-12,0,0,48.65,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,279.99,0,0,0,50.76,0,0,29.03,0,0,0,0,0
 14-21,0,0,0,9.18,0,0.99,0,0,0,2.6,0,0,0,0,2.77,1.07,0,2.23,26.98,0,0,0,1.81,4.66,3.75,0,0.88,9.46,0,1.01,0
 24-34,0,0,0,3.31,0,11.37,0,0,0,1.54,0,0,0,0,0,4.36,0.81,0,61.13,3.2,0,0,0,0.75,0,0,0,10.89,0,9.31,2.78
 36-46,0,0,0,0,5.34,12.45,0,0,0,1.83,0,0,0,0,0,4.25,0,0.72,59.93,0.58,1.95,0,0,0,0,0,0,7.67,0,0,0
 48-58,0,0,0,0,0,11.5,0.86,0,0,5.83,0,0,0.75,0,0,6.8,0,1.88,37.86,0,0,0,0,1.35,0,0,0,6.06,0,0,0
 60-70,0,0,0,0,0,13.67,0,0,1.35,4.41,0,0,0,0,0,8.93,0,0,19.11,0,0,0,0,0.68,0,0,0,9.14,0,0,0
 72-82,0,0,0,3,0,7.31,0,0,0,4.64,0,0,0,0.63,0,6.54,0,0.58,19.27,2.85,0,0,0,0,0,0,0,10.96,0,1.78,0
 84-94,0,0,0,1.2,0,20.32,0,0,0,0,0,0,0,0,0,1.56,0,0.83,7.86,0,0,0,0,0,0,0,0,0,0.9,0,0
 96-106,0,0,0,1.64,0,6.68,0,0,0,5.77,0.56,0,0,0,9.55,5.1,0,3.93,17.28,0,0,1.47,0,1.54,0,0,0,6.13,0,0,0
108-118,0,0,0,0,0,4.57,0,0.5,0,2.94,0,0,0,0,0,1.62,0.51,0,28.99,0,0.47,0,0,4.46,0,0,0,0,0,1.44,0
120,0,0,0,0,0,8.34,0,0,0,4.5,0,0,0,0,0,4.07,0,0,21.78,2.7,0,0,0,2.85,0,0,0,0,0,0,0
