stage,blastomeres,epidermis,eye,hatching.gland,ionocyte,mesenchyme,neural
  5-6,51.45,0,0,0,0,0,0
 10-12,0,0,3.19,0,0,0,0
 14-21,0,0,0,0.98,0,0,0
 48-58,0,0,0,0,0,0.55,0
 72-82,0,0,0,0,0,0,1.52
 84-94,0,5.38,0.67,0,0,2.32,0
 96-106,0,4.94,0,0,0.56,2.44,0
108-118,0,10.91,0,0,0.67,0,0
