stage,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,iridophores,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,spinal_cord
 14-21,0,0,0,0,1.11,0,0,0,0,4.71,0,0.84,0,2.24
 24-34,0,0.72,0,0,0,0,0,0.73,0.6,5.74,1.38,0,0,3.33
 36-46,0.56,0,0,0,0,0,0,0,0,5.57,2.26,0,0,5.41
 48-58,0,0,0,4.03,0,0,0,0,0,22.06,0,0,0,0.37
 60-70,0,3.27,0,0,1.36,0,2.6,0,0,16.04,2.86,0,0,0
 72-82,0,0.69,0,4.76,0,0,0,0,0,19.52,0,0,0,0
 84-94,0,0,1.39,1.58,0,0,0,0,0,3.79,0,0,0,2.32
 96-106,0,0,0,1.23,0,0,0,2.19,0,22.59,0.8,0,0,0
108-118,0,0.46,0,0,0,0,0,1.03,0,8.52,0.7,0,3.63,0
120,0,0,0,0,0,5.8,0,0,0,49.76,0,0,0,0
