stage,blastomeres,eye,immune,neural,notochord
  3-4,197.81,0,0,0,0
  5-6,52.89,0,0,0,0
 10-12,0,4.96,0,9.04,0
108-118,0,0,1.6,0,0
120,0,0,0,0,6.46
