stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.15,22.71,0,0,8.24,0,0,0,0,0,0,0,0,0,0,1.84,0,2.85,0,0,1.86,88.19,0.89,0,0.97,1.32,0,0.96,21.4,0,1.74,11.07,24,0,2.58,0,0
 24-34,0,0,1.72,11.71,0.66,0,17.75,0,0.93,0.63,7.02,0,0,0,1.27,1.55,2.89,0.9,0,31.66,2.33,0,12.67,287.34,0.66,4.05,4.25,0,1.61,17.64,0,0.6,0,3.2,57.35,0,8.04,0,0
 36-46,0,0,0,28.51,0,0,43.73,2.94,0,8.46,11.71,3.09,0,0,0,0,0.62,2.41,0,33.92,0,0,7.97,180.44,13.52,1.38,11.36,0,0,22.57,0,2.28,0,0,25.89,0,1.72,0,0
 48-58,0,0,0,22.52,2.21,0,50.38,0.77,3.26,0,13.86,2.94,0,4.89,0,3.18,4.54,2.28,0,22.98,0,0,8.53,90.27,0,0.58,0.38,0,3.8,33.87,0,0,0,0,16.34,0,5,0,0
 60-70,0,0,0,23.93,0,0,41.26,6.35,4.56,0.84,24.32,4.76,0,0,0,4.2,0,7.72,0,13.13,0,0,1.08,58.33,1.42,0,3.07,0,0,17.48,0,0,0,0,7.05,0,1.54,0,2.08
 72-82,0,0,0.75,3.9,0.89,0,36.56,1.35,2.01,0.95,22.84,2.88,0,1.87,4.03,0,1.11,2.82,0,23.84,0,0,1.08,43.35,0,0,0,0,0,2.52,0,5.1,0,0,0.96,0.53,3.37,0.73,0
 84-94,0,0,0,3.99,0,0,15.65,0,1.43,1.18,0.91,0.66,0.7,0,0,0,0,6.31,0,11.81,0,2.94,3.3,23.52,1.52,0.8,3.7,0,0,0.64,0,0.9,0,0,0,0.57,0,0,0
 96-106,0,0,0,2.25,0,0,1.39,0,0,0,1.02,1.61,0,0,0,0,0,0.7,0,9.07,0,0,0.62,18.04,0.62,0,0,0,0,1.78,0,0,0,0,0,0,1.68,0.62,0
108-118,0,0.75,0,5.26,0,2.84,4.48,0,4.25,0.46,3.36,0.42,0,1.33,0.41,0,0.78,0,1.02,6.36,0,0,1.03,24.37,0.47,0,0.76,0,1.58,0,0,0.87,0,0,1.21,0,0,0,0
120,0,0,0,16.54,0,0,30.01,0,0,0,4.07,0,0,11.49,7.56,0,0,0,0,28.35,0,0,1.26,27.67,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0
