stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,heart,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,4.18,0,0,0,0,0,0,0,1.9,0,0,2.07,40.94,0.82,0,0,0,1.93,0,1.72,5.5,0,0
 24-34,0,0,0,0.59,0,0,0,0,0,4.21,0,0,0,16.32,0,0,1.33,0,0,0.66,0,0.87,1.51,0
 36-46,0,0,0,2.68,0,0,0,0,0,0.64,0,0,0,14.15,0,0.63,0,0,0,0,0,0.72,0,0
 48-58,0,0,0,2.35,0,0,0,1.42,0,1.78,0.53,0,0.9,19.54,0,0.39,3.57,0,0,1.46,0,1.34,0,0
 60-70,0,0,0,9.82,1.3,1.01,0,0,0,1.81,0,2.08,0,12.57,0,0,0,0.75,0,0,0,0,0,0
 72-82,0,0,0,2.48,0,1.64,0.5,0,0,3.81,0,1.39,0.86,8.57,0,0,0,0.84,0,0,0,4.47,0,0
 84-94,0,0,0,0.57,0.75,1.77,0,0,0,0.81,0,0,0,2.98,0,0,0.79,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.21,1.5,0,0,0,4.04,0,0,2.37,5.4,0,0,0,2.92,0,0,0,0,0,0
108-118,0.74,0,0,0.43,3.07,2.89,0,0,0.88,2.39,0,0,1.59,10.27,0,0,0,3.5,0,1.15,0,0,0.46,1.16
120,0,2.55,2.26,10.94,0,0,0,0,0,9.11,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0
