stage,axial,blastomeres,endoderm,eye,glial,iridophores,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vasculature
  3-4,0,9.48,0,0,0,0,0,0,0,23.7,0,0,0,0
  5-6,14.02,43.77,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.41,0,0,0,0,3.45,3.72,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,24.57,20.67,0,5.62,0,0,0
 14-21,0,0,0,0,0,0,0,1.11,0.88,0,0,1,0,0
 24-34,0,0,0,0.83,0,0,0,12.65,0,0,0,0,0,0
 36-46,0,0,0,1.35,0,0,0,3.64,0,0,0,0,8.51,0
 48-58,0,0,0,7.88,0.81,0,0.38,8.79,0,0,0,0,1.84,0
 60-70,0,0,0,14.2,0,0,0,7.95,0,0,0,0,0,0
 72-82,0,0,0,0.97,0,0.71,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.03,2.04,0,1.03,6.25,0,0,0,0,0,0
 96-106,0,0,0,4.34,0,0,0.82,8.98,0,0,0,0,0,0.65
108-118,0,0,0,3.52,2.03,0,0.59,3.88,0,0,0,0,0,0
120,0,0,0,0,0,0,4.73,14.84,0,0,0,0,0,0
