stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0
 10-12,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,7.36,0,0,6.66,0,0,3.26,0,0,0,0,0,0,0
 14-21,0,0,1.71,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,1.15,0,1.78,1.13,0,0,0,0,0
 24-34,0,0,0.82,0,0,15.42,0,1.73,0,0,0,0,1.17,0,1.24,0,0,3.77,0,5.03,2.33,0,0.68,40.46,0,3.15,1.33,0,4.07,0,0,0,0,11.98,0,1.21,0,0
 36-46,0,0,0,0,0,17.26,0,0,0,0,0,0,0,0,0.65,0,0.68,0,0,18.08,0,0,0,25.01,0,1.02,0.83,0,3.23,0,0,0,0,5.75,0,1.74,0,12.17
 48-58,0,0,2.98,0,0,16.76,0,0,0,3.87,0,3.21,1.16,0,0,0,1.03,0,0.64,8.23,1.5,0,0.39,35.44,1.23,0.88,0.69,0,1.41,0,0,0,0,2.53,0.61,0,0,4.75
 60-70,0,0,0,0,0,10.27,0,0.69,0,9.91,0,2.38,1.72,0,10.22,0,0,0,0,10.44,0,0,0,22.85,9.51,0,0,0,2.13,0,0.73,0,0,5.24,0.8,0.71,0,8.2
 72-82,0,1.14,0,0,0,15.1,0,2.57,0.96,18.23,0,1.14,0,0.53,0,0,0,0,0,42.73,1.23,0,1.07,11.5,0,0.5,1.73,0,7.18,0,0.63,0,0,2.83,0.89,3.39,2.76,0
 84-94,0,0,3.8,0,0,16.46,3.03,0,0.94,0.92,0,0,12.93,0,1.9,5.64,0,0,0,32.86,0,2.89,0,12.28,0,0,4.6,0,8.63,0,0,0,0,1.33,0,5.97,0.64,8.11
 96-106,0,0,0.63,0,0.66,10.95,0,0,0,11.97,1.27,0,0,0,0,5.53,0,1.6,0,23.3,13.98,0,0,15.01,1.43,0,0.64,0,6.13,0,0,0,0,0,0,2.45,1.9,7.42
108-118,0,0,3.88,0.85,4.67,26.11,0,0,1.56,4.04,1.22,0,3.6,0,3.54,12.17,0,1.06,1.68,50.82,4.21,1.65,0.49,18.49,0,0,0.86,0,13.41,0,0,0.43,0,0,2.27,0.96,0,12.02
120,0,4.41,7.46,3.55,0,26.34,0,0,0,8.9,2.67,0,0,0,2.4,14.28,5.46,0,0,46.82,0,8.42,8.51,34.53,5.53,2.97,0,0,4.63,0,1.2,0,0,1.34,0,0,0,4.83
