stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,11.43,539.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.72,831.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,7.98,0,9.92,0,0,0,0,0,0,0
  7-9,40.72,11.75,19.63,0,0,18.98,0,0,0,0,5.1,0,0,0,0,0,551.79,40.16,0,0,380.56,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.29,0,0,7.55,0,0,0,0,0,0,0,0,0,0,203.62,42.84,0,0,393.49,0,0,4.19,29.43,0,6.05,0,0,0
 14-21,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,7.36,14.3,4.6,0,0,2.21,0,0,89.13,0,1.78,116.62,7.74,0,0
 24-34,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,2.45,0.9,7.5,0.65,0,0.74,0,0,3.71,0,0,0,10.18,2.44,0,0
 36-46,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,8.31,2.72,27.1,0,0,0,0,0,0.59,0,0,0,0,8.58,0,0
 48-58,0,0,0,0,0,6.71,0,0,2.49,0,0,0,0.42,0,1.83,0,7.65,0,0,0,0,0,2.37,0,0,0,0,4.97,0,0
 60-70,0,0,0,0,0,7.8,1.34,1.64,6.21,0,0,0,0,2.78,4.92,0.88,38.14,0,0,0,0,0,9.24,0,0,0,0,1.31,0,0
 72-82,0,0,0,4.1,1.31,8.15,0,0,1.78,0,0,0,0,0,1.8,0,22.32,0,0,0,0,0,0,0,0.64,0,0,0,0.52,0
 84-94,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,2.11,0,4.71,0,0,1.44,0,0,2.28,0,0,0,0,0,1.21,0
 96-106,0,0,0,0,0,3.55,0,0,0,0,0,1.58,0,0,1.16,0,11.34,0,0,0,0,3.14,0,0,0,0,0,0,2.7,1.47
108-118,0,0,0,0,0,4.78,0,0,3.3,0,0,0,0,0,5.78,0,5.57,0,0,0,0,0,0,0,0,0,0,1.03,0,0
120,0,0,0,4.93,0,4.46,0,0,0,1.55,0,0,0,0,7.43,0,11.59,0,1.29,0,0,0,0,0,0,0,0,0,0,0
