stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,72.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.21,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.64,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.41,11.53,0,0,12.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.95,3.75,0,2.13,0,0,0,0,1.08,0,0,0,0,0,0,0,1.13,3.8,0,8.08,70.67,0.81,0,2.11,5.34,0,0,7.35,0,15.39,21.42,0,0,0,0,0
 24-34,0,0,0,0,13.61,0.81,0,14.92,0,2,0,7.3,0.89,0,1.71,0,0,0,0.6,0.65,4.82,21.65,0,13.61,165.53,2.46,0.94,2.78,0,0,2.68,0,0.64,0.76,55.81,0,0,10.93,0,0
 36-46,0,0,0,0,13.52,0,0,54.35,0,10.38,0.78,19.76,0,0,0.84,0,0,0.57,0,0,0.58,29.51,1.94,8.23,224.14,1.2,7.94,0,0,0,9.29,0,0,0,78.4,0,1.23,5.16,0,10.4
 48-58,0,0,0.46,0,3.88,0,0,52.98,0,0,10.53,27.63,0,0.57,0,0,0.44,0,1.18,0,0,39.32,0.87,7.62,169.72,0,2.88,0.59,0,1.91,6.3,0,0.43,0,59.37,0,0,7.83,0,1.42
 60-70,0,0,0,0,1.55,0,0,206.06,0,2.53,2.34,45.26,0,0,0,1.35,0,7.43,1.87,0,0,75.36,4.14,2,226.53,0,0,8.62,0,0,14.43,0,0,0,79.31,0,2.09,11.74,0,3.97
 72-82,0,0,0,0.75,5.34,0.52,0,242.62,0.75,0,1.18,41.68,0,0,0.53,1.35,1.31,2.94,1.53,0,0,94.87,2.13,9.88,243.7,0,4.65,1.37,0,2.46,6.57,0,0,0,32.82,0,4.31,18.65,3.59,13.11
 84-94,0,0,0,0,10.44,3.43,0,185.05,0,5.81,0.69,46.96,0.68,0,0.6,1.46,0,3.17,1.62,1.4,5.89,79.44,8,1.81,174.66,0,3.27,4.57,0,0,5.43,0,0.67,0,28.27,0.79,1.06,10.18,1,2.54
 96-106,0,0,0,0,16.36,6.16,0,175.13,0,4.39,0.64,59.29,0,0,2.5,0,0,3.22,1.76,0,0,75.18,1.74,7.37,133.54,0.79,0.59,3.53,0,2.45,7.17,0,0,0,15.35,1.95,0,10.38,8.76,0
108-118,0,0,4.4,1.06,18.06,2.84,1.21,154.1,0,3.03,6.6,43.89,3.94,0,1.35,1.65,0.48,1.54,1.64,0.65,0,126.23,3.49,7.35,249.76,1.57,0,3.02,0,1.52,8.45,0,0,0,5.79,3.37,0,8.75,3.47,2.13
120,2.82,0,0,0,14.46,9.67,2.05,141.48,0,0,5.02,89.11,20.93,0,6.79,0,0,4.78,1.62,1.05,0,90.68,0,7.33,341.72,1.08,2.28,0,0,0,6.55,0,0,0,0,0,0,18.36,5.88,4.37
