stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,23.29,60.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,129.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.42,7.46,0,0,0,5.24,0,5.13,0,129.18,4.44,0,55.42,0,7.7,0,0,0,0,0
 10-12,0,6.2,0,0,0,21.37,0,11.49,0,214.85,7.98,0,40.81,0,0,17.08,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.28,0,0,0.83,0,0,0,0,0,0,0
 24-34,0,0,0,0.81,0,0,0,0,0,16.84,0,0.62,0,0,0,0,0,0.85,0,0
 36-46,0,0,0,0,0,4.42,0,0,0.63,10.18,0,0,0,0,0,0,4.05,4.78,0,0
 48-58,0,0,0,0,0,2.71,0,0,1.35,11.23,0,0.97,0,0.77,0,0,0,1.93,0,0
 60-70,0,0,0.65,0,0,1.14,2.21,0,0,6.12,0,0,0,0,0,0,0,0,0,0.73
 72-82,0,0,0,0,0,2.35,0,0,0.6,3.57,0,0,0,0,0,0,0,1.6,0,0
 84-94,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0
 96-106,0,0,0,0,1.62,1.1,0,0,0.85,8.87,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.19,4.03,0,0,0,0,0,0,0,0,0,0
