stage,endocrine.pancreas,eye,glial,mesenchyme,neural,spinal.cord
 24-34,0,0,2.97,1.48,2.29,0
 36-46,0,0.97,1.34,0,1,0
 48-58,0,0.91,0,0,0.94,1.18
 60-70,0,15.48,1.13,0,6.24,0
 72-82,0.86,1.12,0.55,0,4.31,0
 84-94,0,0.59,0,0,3.16,0
 96-106,0,0,3.16,1.29,3.99,0
108-118,0,0,0,0.79,1.76,0
120,0,2.16,0,0,8.17,0
