stage,eye,glial,mesenchyme,neural
  5-6,0,0,0,19.82
  7-9,12.05,0,0,11.55
 48-58,0.73,0,0,0
 72-82,1.12,1.36,0,1.2
 84-94,2.55,0,0,0
 96-106,3.55,0,0,0
108-118,13.26,0,0.6,0
