stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.78,1716.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.55,0,0,0,0,0,0,0,0,0,0
  5-6,19.94,449.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.31,8.92,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0,114.21,5.22,0,0,59.79,0,9.24,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,4.15,48.68,0,0,0,21.49,0,0,0,0,0,14.05,0,0,0,0,0,0,0,0,0,0,0,396.23,0,0,0,33.5,0,17.25,3.03,4.75,0,0,0,0,0,0,0,0
 14-21,0,0,1.39,98.89,1.07,0,7.98,0,0,0,17.16,0,0,0.81,0,1.21,0,0,0,0,3.13,0,0,0,225.94,2.86,0,0,1.81,0,12.41,0,3.72,2.78,2.97,86.8,0,0,1.07,0,0
 24-34,0,0,0.59,65.71,0.68,0,133.39,0,8.36,0,44.6,1.02,0,4.11,1.95,1.34,0.64,2.83,6.41,0,18.02,0.81,0,6.63,1309.06,1.07,0,9.72,1,0,11.34,0,0,16.72,1.65,359.93,0,0,44.41,0,0
 36-46,0,0,0,28.58,0,0,167.01,0,5.5,0,147.9,0,0,2.78,3.55,0,0,0,0,0.85,6.35,1.07,0.8,0.95,1193.66,3.78,0,2.18,0,0,42.87,0,0,6.33,0,445.78,0,0,14.92,0,13.16
 48-58,0,0,0.4,41.46,0,0,205.34,1.14,6.33,0.92,182.1,0,0,9.41,0,0.51,2.81,3.12,0.39,0,27.39,4.34,0.4,4.66,380.75,0,2.09,0.41,0,0,19.36,0,0,4.57,0,277.14,0,0,12.08,0,2.49
 60-70,0,0,0,47.81,0,0,112.47,0.76,7.86,1.03,193.92,0.6,0,0,0.63,0,0,3.9,0,0,55.82,4.8,0,2.06,175.16,0,0,0,0,0,23.7,0,0,2.8,0,70.38,0,0,26.05,0,23.18
 72-82,0,0,0,40.66,0.96,0,58.67,0,8.45,0,252.72,14.45,0,8.4,0,2.83,0.5,4.6,1.68,0,93.06,1.48,7.23,9.24,139.36,0,0,1.65,0,0,17.21,0,0,1.77,0,63.88,0,0,18.56,3.87,4.81
 84-94,0,0,0,64.48,0.71,0.76,55.37,0,22.18,0,180.78,9.01,0,8.87,1.83,3.57,5.07,4.48,1.37,0,76.5,0.61,13.89,6.08,135.9,0,2.48,4.63,0,2.02,45.75,0,0,2.36,0,66.43,0.85,2.31,35.41,3.44,0
 96-106,0,0,0,81.23,0,3.62,67.28,0,12.82,0,151.49,21.03,0,4.79,3.04,4.36,5.41,8.07,3.85,0,91.04,2.29,11.52,2.44,99.9,0.58,1.91,0,0,2.59,53.66,0,0,5.8,0,66.84,0,1.58,31.94,7.09,0
108-118,0,0,0,102.7,6.61,16.02,46.28,2.52,27.32,1.11,205.08,25.45,0,4.33,0.72,3.17,6.8,5.94,12.05,0,138.1,11.8,4.33,1.56,189.06,0.67,4.72,1.59,0,5.8,34.88,0,0,9.48,0,9.73,1.11,7.73,29.25,4.02,1.62
120,0,0,0,145.9,0,6.97,54.66,0,3.03,0,272.24,13.51,0,11.75,0,1.07,6.59,3.86,0,0,148.94,0,0,0,168.25,6.22,5.26,5.36,0,20.38,10.56,0,0,13.36,0,43.45,0,11.09,28.33,5.37,0
