stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,66.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.65,6.23,0,1.93,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,1.14,73.45,0,6.59,1.98,0,0,0,2.69,0.95,0.8,0.99,46.92,0,0,0,0,0
 24-34,0,4.73,3.4,0,0,4.91,0,0,0,0.63,0,0,0,0,0,0,0,0,11.06,0,0,3.4,657.9,0,32.74,1.47,0,0,0,0,0.74,0,0,177.65,0,0,2.03,0,0
 36-46,0,0,2.08,0,0,30.62,0,2.79,0,3.39,0,0,0,0,0,0,0,0,20.17,0,2.34,3.29,1713.81,0,65.49,4.97,0,0,7.15,0,0,0,0,318.88,0,0,1.49,0,0
 48-58,0,0,17.53,0,0,174.72,0.39,0,0.49,21.08,0,0,0,0,7.11,0,0,5.93,18.09,0,7.7,5.93,2675.36,5.46,43.1,0.44,0,0,15.29,0,0,0,0,416.51,0,0,0,0,6.81
 60-70,0,0,7.49,0,0,342.81,0.68,1.83,0,24.24,4.15,0,0.57,0,0,0,0,0,40.48,0,0,0.71,4128.78,0,33.11,0,0,0,1.65,0,0.73,0,0,567.9,0,0,1.71,0,0
 72-82,0,1.07,16.69,1.87,0,477.06,0,0,5.51,36.72,0,1.12,0,0,0.57,0,3.06,3.31,26.51,0,0.72,5.29,3362.87,0,35.02,0,0,2.48,4.66,0,0.84,0,0,363.1,0,0,3.09,0.99,23.81
 84-94,0,1.15,10.11,0.71,0,393.83,1.34,1.23,1.17,28.62,2.06,0,1.31,6.01,2.84,0.58,1.09,20.85,33.3,0,0,0.68,2332.65,0,38.5,0.72,0,0,15.61,0,2.4,0,0,222.61,0.9,1.91,11.48,0,0
 96-106,0,0,19.25,16.77,0,289.3,0,0,7.31,34.03,3.11,1,0,0,7.37,0,9.42,2.65,27.74,0,3.68,1.16,2094.7,0,61.97,0,0,0,4.56,0,0,0,0,119.91,0.71,0,12.12,4.68,0
108-118,0,0,29.02,9.31,2.73,284.37,0.49,0.95,0,40.88,0,0,0,3.69,0.63,0.74,1.01,4.67,33.07,3.38,0,1.05,2619.34,0.69,34.86,0,0,0,2.01,0,0,0,0,121.38,1.56,0,1.07,0,3.41
120,0,0,65.34,5.28,0,514.23,0,0,0,34.61,2.6,0,9.11,8.78,4.88,1.48,0,3.34,52.91,0,0,8.67,4673.44,0,71.87,22.09,0,0,9.99,0,4.28,0,0,190.13,0,1.54,0,0,0
