stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,0,0,0,0,0,0,0,0
 24-34,0,1.5,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,1.53,5.16,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,5.07,18.03,0,0,0,0,0,0,0,0
 48-58,0.43,0,0,0,1.58,0.37,0,0,0,0,0,49.41,1.15,0,0,0,5.25,23.85,9.19,0,0,0,0,0,0,0
 60-70,1.02,0,0,0,2.89,0,0,0,0,0,0,73.78,0.6,1.53,0,0,10.65,50.68,0.78,2.16,0,2.68,0,0,0,0
 72-82,7.05,3.41,0,0,20.97,0,0,0,0.51,0,0,183.79,3.33,0,0,0,34.7,108.2,5.85,0,0,0,0,0,1.05,0
 84-94,11.96,2.95,0,0,22.84,0,0,5.91,0,0.63,1.45,235.88,8.96,0,10.95,0.64,2.49,352.51,2.42,0,0,0,2.36,0,0,1.51
 96-106,6.52,0.6,19.07,4.13,13.17,0,0.98,11.05,10.18,0,1.59,352.97,17.39,0,0,0,38.79,672.69,0.73,9.09,0.6,0,4.97,0,0,0.76
108-118,24.36,2.63,3.23,0,20.45,1.32,0,4.06,0,0,0,344.8,6.78,2.25,0,0,10.4,444.19,3.89,0,0,0,13.55,0,0,1.04
120,2.55,0,0,0,20.77,0,0,0,0,0,2.21,234.6,10.48,0,0,0,1.48,359.77,0,10.85,0,0,0,2.68,0,0
