stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,286.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.09,558.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.09,0,0,0,6.24,0,9.33,0,0,0,0,0,0,0,0,0
  7-9,0,5.43,22.81,0,0,27.69,0,0,0,0,4.43,0,0,0,0,0,0,0,0,488.7,12,0,0,199.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.24,29.88,0,0,34.17,0,0,0,0,28.65,0,0,0,0,0,0,0,0,389.2,3.72,0,0,193.94,0,0,14.36,0,18.07,0,0,0,0,0,0
 14-21,0,0,0,7.58,2.51,5.47,0,0,2.54,3.34,0,0,0,0.81,0,0,0,4.02,8.77,62.95,0,0,0,1.95,0,4.3,0,17.49,0,18.09,18.91,0,1.01,0,0
 24-34,0,0,0,1.57,0,11.78,1.45,0,0,0,0,0,0,0.63,0,0.66,0,2.19,4.9,62.16,0,0,0,0,0,5.34,0,0,0,0.62,9.47,0,0,0,0
 36-46,0,0,0,0,0.73,25.11,0,0,0.92,0,0,0,0,0,0,0.85,0,3.83,2.33,32.36,0,0,0,0,0,14.04,0,0,0,0,7.15,0,0.75,0,0
 48-58,0,0,0,0,0,8.89,0,0,1.46,0,0,0,0,0,0,0,1.16,4.28,0.51,27.8,0,0,0,0,0,4.19,0,0,0,0,0.72,0,2.39,0,0.83
 60-70,0,0,0,2.68,0,23.41,0,0,2.92,0,0,0,0,0,0,0,0,3.81,0,21.04,0,0,0,0,0,2.64,0,0,0,0,9.76,0,0,0,0
 72-82,0,0,0,0,0,21.99,0,0,5.2,0,0,0,0.49,0,0,0,0,2.25,0,19.47,0,0.93,0,0,0,0.57,0,0,0,0,1.41,0,0.91,0.93,0
 84-94,0,0,0,0.66,0,10.68,0,0,0,0,0,0,0,0,0.55,0.83,0,7.53,3.03,19.76,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.44,0,4.61,0,1.14,3.04,0,0,0.79,1.32,0,0,0,0,3.97,2.25,15.91,0,0,1.81,0,1.3,3.04,0,0,0,0,2.13,0,0.61,0.68,0
108-118,0,0,0,0.42,0.82,4.1,0.55,0,2.02,0,0,0,0,0,0,0,0,2.75,2.9,37.71,0,0,1.77,0,0,1.06,0,0,0.5,0,0,0,1.6,0,0
120,0,0,0,1.28,0,18.35,0,0,17.7,0,0,0,0,0,0,0,0,9.73,0,24.41,1.17,0,0,0,0,1.11,0,0,0,0,0,1.19,0,0,0
