stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,37.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,0,8.85,0,0,0,0,0,0,6.16,0,0,0,0,0,20.41,0,4.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0,9.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.11,1.5,0,0,0,2.09,0,1.11,3.99,0,13.56,0,0,0.86,0,4.95,6.08,0,0,0,0
 24-34,0,0,0.76,0,0,0,0,0,0,0,0,0,0,1.04,0,8.41,0,0,0,0,0,0,0,3.67,0,0,0,0
 36-46,0,0,0,0.61,0,2.31,0,1.42,0,0,0,0,0,0,2.39,5.69,0,0,0,0,0,3.87,0,2.71,0,0.61,0,0
 48-58,0,0,0,0,0,6.95,0,1.28,0,0,0,0,0,0.93,0.51,5.61,0,0,0,0,0,0,0,0.37,0,0,0,0
 60-70,0,0,0,0,0,1.63,0,0,1.36,0,0,0,0,0.82,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,12.08,0.68,1.72,0.63,0,0,0,0,3.38,0,8.53,0,0,0,2.52,0,1,0,7.11,1.01,0,0,0
 84-94,0,0,0,1.11,0,1.66,0,0,1.46,0,0,0,0,0,0.58,1.09,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,9.39,0,0,0,0,1.61,0,0,4.03,0.89,2.21,1.05,0,4.36,0.58,0,0,0,0,0,0,0.62,0.75
108-118,0,0,0,2.1,1.96,0.43,0,2.82,0.59,0,0,0.44,0,4.06,0,17.17,1.4,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.78,0,1.61,0,4.67,0,0,0,0,0,0,0,5.35,18.95,0,0,0,0,0,0,0,0,0,0,0
