stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.68,0,0,0,6.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.47,0,0,0,0,0,0,0,0,20.18,0,0,0,0,0,0,0,0,0,0,4.1,0,0,4.11,0,0,0,0,0,0,0,0,0
 14-21,0,1.38,0.84,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.05,0,0,0,0.91,0,0.96,0.9,0,14.09,0,0,0,0
 24-34,0,0,0,0,0,0.89,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,366.2,0.64,5.81,2.33,0,0,0,0,0,94.94,0,0,0,0
 36-46,0,0.98,0,1.88,0,23.19,0,0,0,6.51,0,0,0,0,0,0,0,0,0,0.79,0,1074.98,0,6.14,6.78,0,10.02,0,0.94,0,238.39,0,0,0,0
 48-58,0,0.59,0,6.09,0,124.76,0,0.78,0.4,25.61,0,0,0.55,0.68,0,3.23,0,0,2.73,7.53,0.76,1805.1,0,4.41,1.37,0,0,0,0,0,291.79,0,0,0,11.45
 60-70,0,0,0,3.52,0,493.72,0,2.07,0,44.06,0.62,0,0.84,0,0,0,0,0,0,7.14,0.6,2283.36,6.52,4.63,11.08,0,0,0,0,3.07,458.68,0,0,0.71,0
 72-82,0,0.69,0,2.87,4.82,735.88,0.82,0,2.79,86.61,0,0,0,0,0,0,1.7,3.08,0,9.78,1.33,2425.62,0,1.07,4.85,0,2.41,0,0,0,207.49,5.75,7.04,1.62,0
 84-94,0,0,0,25.31,0.89,482.6,0,0,2.52,57.12,1.01,0,0,0,0,0,2.39,7.69,0,13.23,3.58,1339.33,0,2.76,18.87,0,7.58,0,0,0,140.3,3,1.54,0.57,7.66
 96-106,0,0,0,5.49,12.62,594.79,0,3.32,0,53.79,0,0,0,0,0,0,1.9,0,0,10.99,0,1219.9,1.41,12.08,11.47,0,0,0,0,0,95.25,5.94,0,1.1,0
108-118,0,0.47,0,10.55,0,435.59,1.73,0.69,0,43.65,1.59,0,0,0.61,0,0,1.69,0,0,7.03,0,1256.65,1.55,0,17.26,0,1.48,0,0,0,59.68,2.09,2.05,0,0
120,0,14.01,0,11.24,0,386.66,2.29,0,0,56.27,0,0,0,0,2.5,0,4.03,0,0,38.68,2.38,1621.56,3.33,12.84,5.81,0,0,0,0,0,76.46,2.82,2.97,0,0
