stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.13,2.18,10.05,3.03,0,6.64,0,0,0,3.24,1.58,0,0.85,0,0,0,0,0,0,5.3,0,0,10.07,51.62,0,0,0,0,4.13,0,8.79,0,0,6.16,10.6,0,0,0,0,0
 24-34,0,0.76,5.51,0.66,0,10.76,0,0.96,0.69,3.98,0,0,0.67,0,0,0,0,0,0.7,12.46,0.68,0,2.25,153.53,2.91,3.7,1.16,0,14.48,0,0,0,0,0.62,43.86,0,0,1.83,0,0.77
 36-46,0,0,8.12,1.13,0,32.14,1.17,1.53,0.58,17.81,0,0,0,0.65,0.93,0,0.72,1.55,0,14.38,0,0.88,4.62,207.01,0.82,1.21,0,0,42.13,0,0,0.88,0,0,54.69,0,0,6.16,0,1.44
 48-58,0,0,7.21,0,0,48.99,1.96,1.64,0.75,17.83,0,0,0.59,0.42,6.13,0,0,0,0.53,37.94,1.03,2.36,8.06,187.72,4.14,1.02,4.67,0.4,26.25,0,0,0.47,0.45,0,63.56,0,0,7.09,0.5,0.5
 60-70,0,0,7.54,0,0,114.06,0.9,2.45,0,33.51,0,0,0.76,2.66,0,0,0,0,0,58.88,0,10.5,0,242.07,2.09,1.1,0,1.88,7.59,0,0,1.18,0,0,45.44,0,4.14,2.47,0,0
 72-82,0,0,11.88,10.38,0,196.33,0,1.89,2.37,42.73,1.2,0,1.23,2.23,0,0,2.29,0,2.93,65.48,1.47,1.59,9.34,218.47,1.09,6.46,4.09,0,8.89,1.65,0,8.15,1.06,0,24.76,0,1.42,7.11,2.52,1.08
 84-94,1.2,0,15.55,9.86,0,99.9,0,1.83,2.37,28.79,4.79,0.99,0,2.32,1.79,0.65,1.39,2.07,0,61.74,0,0,4.96,106.62,0,18.4,6.42,5.27,14.35,0,0,0.64,0,0,34.51,0.6,6.22,3.51,0.63,0
 96-106,7.78,0,20.37,31.55,0,160.51,0,2.13,3.5,46.53,6.23,0,3.7,13.77,1.91,5.36,7.54,0.59,0,79.15,0,7.29,8.83,214.48,2.3,2.44,4.14,2.4,32.34,0,0,2.02,0.64,0,4.81,0,1.46,26.55,0,1.93
108-118,0,0,16.29,11.75,0.72,131.35,2.37,0.46,6.23,47.4,8.85,0,0,3.01,3.32,0,4.41,3.12,3.83,67.05,0.43,0,6.25,246.11,2.37,5.22,7.09,0,22.19,0,0,0.45,0.41,0,2.55,3.03,5.15,16.95,2.77,1.02
120,0,0,12.2,1.39,0,144.08,0,1.35,0,41.5,5.96,0,0,17.84,0,3.64,0,0,0,42.98,0,10.62,3.21,297.73,1.18,20.31,2.3,2.54,3.81,0,0,0,0,0,0,0,0,15.59,5.91,16.56
