stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,15.32,374.63,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,258.08,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.06,0,0,30.43,0,0,0,61.81,0,21.58,0,0,0,0,0
 10-12,0,0,4.23,5.72,0,0,0,72.23,0,11.11,0,0,0,0,0
 14-21,0,0,0,1.66,0,1.11,0,6.07,0.9,0,0,5.88,5.06,0.94,4.23
 24-34,0,0,0,0,0.65,1.34,0,16.68,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0
 48-58,0,0,0,3.51,0,0.72,0,4.48,0,0,0,0,0,0,1.09
 60-70,0,0,0,8.47,0,2.2,0,2.27,0,0,0,0,0,0,0
 72-82,0,0,0,0.77,0,0,0,0,0.79,0,0,0,0,0,0
 84-94,0,0,0,4.72,0,0,0,1.49,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.22,1.55,0,0,0.58,0,0,0,0
120,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0
