stage,blastomeres,eye,glial,gut,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord
  3-4,12.07,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.46,0,0,0,0
 10-12,0,4.85,0,0,0,0,17.09,0,10.65,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.98
 24-34,0,0,0,0,0,0,0,0,0,0,1
 36-46,0,0,0,0,0,0.86,10.23,0,0,0,0.64
 48-58,0,0,0,0,0,0,1.3,0.58,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,3.72,1.7
 72-82,0,8.98,1.14,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,7.86,0,0,0,0
108-118,0,0,0,0.43,0.67,1.54,0,0,0,0,0
120,0,3.72,0,0,0,0,0,0,0,0,0
