stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,34.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.71,0,0,0,0,0,0,0,0,0,0,0,0,0,25.77,0,0,0,0,0
  7-9,0,0,0,0,3.45,0,0,0,0,5.39,0,0,0,0,23.84,7.62,0,0,0,0
 10-12,0,0,4.21,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0.93,0,0,3.54,0.83,0,1.29
 24-34,0,0.62,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,7.73,0,0,0
 36-46,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0
 48-58,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,2.68,0,0,0,0,1.89
 60-70,0,0,0,0,0,1.33,0,0,4.12,0,0,0.58,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.47,0,2.19,1.11,0,0,0.59,0,0,0,0.76,0,0.79,0,0.76,1.02
 84-94,0,0,0,0,0,0,3.37,0,1.01,0,0,0,0,0,0,0,2.43,0,0,2.01
108-118,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,2.2,0,0,0
