stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,9.9,1.23,0,0,0
 24-34,0,1.58,0,0,0,0,0,0,0,1.82,0,0,3.85,1.99,0,0.86,0,11.59,0,1.78,3.63,0
 36-46,0,0,0,0,0,0,0,0,0.91,1.2,0,0,6.16,7.29,0,0,0,10.84,0,18.37,0,0
 48-58,0,0,0,0,0,0,0,0.46,0,1.51,0,0.61,3.47,0.93,0.48,2.13,0.45,0,0,4.96,0,0
 60-70,0,0,0,4.42,0,0,0,0,0,6.68,0,0,0.98,7.75,0,0,0,0,0,1.46,0,0
 72-82,0,0,0,4.95,0,0,2.61,0,0,10.39,0,0,2.28,1.43,0,0,0,0,0,0,0,0
 84-94,0,0.97,0,11.38,0,0,0,0,0,22.78,0.57,0,0.73,0,0,0,0,0,0,0,0.55,0
 96-106,0,0,0,13.18,0,0,0,0,0,8.02,0,0,2.68,0,0,0,0,0,0,4.9,0,0
108-118,0,0,0,26.39,1.02,0.57,10.27,0,0,4.82,0,0,4.25,1.26,0,0,0,1.34,0,3.7,0.92,3.86
120,0,0,0,22.65,0,0,6.26,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0
