stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.11,232.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0
  5-6,0,224.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0
  7-9,0,6.05,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.89,0,0,0,53.69,0,4.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.24,0,6.91,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,84.7,0,0,0,33.85,0,6.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,19.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,1,9.41,0.81,1.19,0,0,0,2.7,2.19,0,1.65,2.63,0,0,0,0,0
 24-34,0,0,0.62,0,8.54,2.96,0,3.7,0,0,0,0,1.75,0,0,0,2.26,0,0,4.29,0,0,2.53,28.21,0,0,0,0,0.99,7.11,0,2.04,0,4.42,0,0,1.78,0,0
 36-46,0,0,0,0,4.11,0,0,0,0,1.62,0,0,1.77,0,0,0,0,0,0,8.58,0,0,0.84,10.7,0,1.27,0.61,0,0,17.41,0,6.78,0,6.2,0,0,0,0,0
 48-58,0,0,0,0,2.04,3.24,0,1.45,1.51,6.72,0,0,0,0,0,0,0.48,0,0,15.12,0,0,0.42,9.1,0,1.01,3.02,0,0,6.56,0,2.67,0,2.67,0,0,0.41,0,2.21
 60-70,0,0,1.23,0,5.23,7.47,0,0,2.25,9.86,4.91,0,0.59,0,0,0,0.84,0,0,22.67,0.73,0,1.45,2.95,0,0,7.03,0,0,9.54,0,2.26,0,1.57,0,0,0,0,0.7
 72-82,0,0,2.35,0,0.5,4.72,0,1.58,0.51,7.92,13.41,0,1.12,0,0,0,1.57,2.9,0,26.37,0,0.7,1.54,16.33,0,0,2.62,0,0,6.35,0,13.3,0,12.73,0.94,0,6.89,0,0
 84-94,0,0,2.31,0,7.82,1.7,0,2.87,1.1,8.85,23.82,0,0,0,0,0,0,1.87,0,35.27,0,6.15,0.67,2.69,0.62,0,0,0,0,13.56,0,13.38,0,0,0.56,0,0,0,0
 96-106,0,0,3.53,0,5.79,16.42,0.9,0.62,0,6.74,23.14,0,0,0,1.33,0,1.74,6.35,0,21.62,0,0.93,3.27,4.79,0,2.25,12.4,0,0,5,0,31.58,0,8.09,1.58,2.03,0,0,5.74
108-118,0,0,0.98,0,7.38,17.89,0,6.14,1.36,15.47,20.38,0,0,0.65,1.93,0.43,0.78,4.1,0,35.84,0.59,0,3.42,21.12,0,2.18,2.72,0,2.78,12.46,0,10.49,0,0,2.72,0,0,0,0.85
120,0,0,3.99,0,11.76,17.21,0,1.72,0,13.82,40.71,0,0,0,0,10.67,2.12,3.46,4.75,19.61,0,0,0,13.33,0,0,1.51,0,0,7.53,0,4.98,0,0,0,0,0,3.15,0
