stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.61,274.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,19.6,403.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.91,0,0,4.9,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0,140.14,0,0,0,68.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.04,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.76,8.66,0,0,49.62,0,0,0,8.24,0,0,0,0,0,0
 14-21,0,0,0,6.56,0,1.13,0,0,39.77,10.94,0,0,0,0,0,0,0.94,6.26,0,0,1.06,46.32,23.75,5.98,10.24,3.18,0,2.46,4.36,23.46,3.2,95.04,0,0,0,0
 24-34,0,0,0,0.71,0,3.51,0,0.67,51.56,0,0,0,0,0,0,0,0,3.4,0,0,0,38.48,3.69,51.85,2.7,0,0,0,0,12,0.64,88.53,0,0,0,0
 36-46,0,0,0,17.96,0,12.62,0,2.07,30.19,0,0,0.93,0,0,0,0,0,0.56,0,0,0,68.27,1.44,32.32,1.3,0,0,0,0,9.68,0,71.54,0,4.9,0,0
 48-58,0,0,0,0,0,12.69,0,0.5,53.36,0,0,0,0,0,0.41,0,0,3.12,0,0,0,60.27,0,27.18,1.2,0,0,0,0,4.03,0,71.48,0,0,0,0
 60-70,0,0,0,0,0,12.84,6.08,4.28,16.48,0,0,0,0,0,0,2.11,0,0.98,2.63,1.85,0,45.12,0,41.3,21.24,0,0,0,0,1.12,0,17.34,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.7,42.46,0,0,0,0.59,0,0,0,0,4.84,0,0.57,0,41.73,0,43.53,4.93,0,0,0,0,1,0,21.59,0.51,0,0,0
 84-94,0,0,0,0,1.7,10.58,0,0,7.61,0,0,4.95,0,0,2.32,1.27,0,0,0,0,0,12.64,0,43.31,9.16,0,0,0,0,3.9,0,8.47,0,0,0.66,0
 96-106,0,0,0,0,0,10.38,0,0,18.32,0,0,0.71,0.96,0,0,9.77,0,0.71,0,0.93,0,15.77,0,47.77,9.92,0,0,0,0,0,0,10.91,0,0,0,0
108-118,0,0,0,1.77,0,6.26,0,0,11.25,0.78,0,0,0,0.65,0,4.22,0,11.8,0,0,0,29.75,0,60.3,8.39,0,0.89,0,0,0.87,0,4.37,0,0,0,0
120,0,0,0,0,0,0,0,0,34.97,0,0,0,0,3.26,0,3.34,0,9.16,0,0,0,45.04,0,23.98,40.73,0,0,0,0,0,0,1.75,0,0,0,3.63
