stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.37,343.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0
  5-6,13.5,128.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,9.06,0,6.67,0,0,0,30.97,0,0,0,0,15.67,0,0,0,0,0,0,0,0,0,0,110.63,6.06,0,0,47.87,0,3.28,0,0,0,0,0,0,0,0,0
 10-12,0,48.89,0,55.24,0,0,0,102.51,0,0,0,0,14.13,0,0,0,0,0,3.73,0,0,0,0,695.86,8.58,0,0,68.28,0,3.3,0,72.78,0,0,0,0,0,0,0
 14-21,1.39,0,1.05,23.2,42.79,140.52,0,26.29,0,0,6.79,0,3.68,0.81,0,3.07,0,0,0,26.17,0,0,6.04,350.94,5.38,4.36,10.96,0,0,28.27,0.9,3.95,0.83,111.56,0,0,2.17,0,0
 24-34,0,0,4.15,4.04,29.08,52.33,0,39.52,0,0,12.9,0,0,0.76,0,6.4,0,0,0,24.12,1.61,0,4.16,1478.59,1.02,35.37,5.71,0,0,26.16,0,1.08,1.16,294.14,0,0,14.86,0,0
 36-46,0,0,0,0,12.8,20.57,0,142.27,0,0,47.24,0.74,0,0,0,13.54,4.81,0.6,0.78,25.69,2.36,8.29,3.64,2633.56,14.4,28.03,4.51,0,0,38.92,0,1.91,0,554.79,0,0.62,17.28,0,15.69
 48-58,0,0,0,0,23.22,17.57,0,365.85,1.27,0,80.32,1.46,0,1.08,0,15.49,5.18,1.39,0,27.45,5.46,0.92,2.93,2336.97,2.93,7.88,7.14,0,0,25.26,0,0.85,0,475.09,0,0,5.91,0,0
 60-70,0,0,6.75,0,13.14,36.4,0,703.26,2.35,0,46.61,19.41,0,0,7.76,11.04,5.32,1.96,0,41.37,3.34,1.33,1.64,1868.98,0,6.98,14.78,0,0,18.04,0,0,0,300.7,0,0.63,11.11,0.73,11.13
 72-82,0,0,6.63,0,18.75,115.12,0,606.24,0,0.75,52.64,18.5,0.59,0.7,18.09,13.52,3.34,2.14,0,47.7,2,5.38,3.05,1195.06,0,6.55,10.36,0,0.71,12.29,0,0.49,0,124.77,2.19,0.51,20.39,9.69,7.06
 84-94,0,0,5.17,0,32.82,106.83,2.96,228.11,0,3.93,52.81,17.97,0.6,0,30.36,12.97,0.55,1.94,0,64.09,1.82,4.93,3.41,835.18,0.57,16.76,15.38,0,0,37.12,0,0.73,0,79.03,17.36,1.38,8.24,0,0
 96-106,0,0,10.43,0,33.61,99.39,0,182.96,1.18,3.06,34.03,24.36,0,2.51,61.53,29.35,0.91,6.57,16.55,27.52,7.09,5.05,3.83,592.64,0.59,11.44,17.79,0,0,33.77,0,0,0,44.08,19.51,1.15,16.16,0.76,0
108-118,0,0,1.33,0,29.7,52.18,2.73,207.38,0.48,0.48,32.17,40.21,0,0,89.2,20.02,3.35,1.31,0.9,35.52,22.28,3.22,0.55,854.45,0,11.21,10.53,0,0.91,41.91,0,0,0,42.64,20.43,1,14.62,0,6.1
120,1.12,0,0,0,33.43,63.12,0,214.83,0,0,46.26,41.66,0,0,160.11,5.98,7.35,0,0,37.38,7.47,20.77,8.31,1112.08,0,10.65,23.51,0,0,34.13,0,3.24,0,53.62,25.95,0,28.23,1.45,0
