stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,43.31,606.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0
  5-6,50.16,822.82,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,26.52,0,0,0,15.55,8.43,0,0,0,0,0,0,0,0
  7-9,11.69,9.75,37,0,0,0,114.1,0,0,0,0,49.48,0,0,0,0,0,0,0,0,0,759.94,39.01,0,0,268.5,6.66,0,0,0,0,0,0,0,0
 10-12,0,19.43,26.05,0,0,0,54.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.42,13.91,0,0,261,0,0,48.56,0,0,0,0,0,0
 14-21,0,0,3.04,20.88,19.31,0,11.71,0,0,11.19,0,1.19,0,0,5.01,0,0,1.84,20.38,0,11.35,348.91,0.82,9.21,1.27,4.36,21.89,30.6,2.37,0,24.76,87.04,0,0,0.89
 24-34,0,0,0,19.73,3.11,0,76.48,0.85,0.72,4.65,0,0,0,0.67,0,0,0,0.76,30.09,0,13.95,667.91,5.05,12.86,1.03,0,7.89,0,5.51,0.99,0.69,131.72,0,0,4.54
 36-46,0,0,0,2.29,0,0,126.9,0,0,10.47,0,0,0.73,0.81,12.16,1.49,0,0,29.63,0,6.55,439.1,0,6.68,0.57,0,4.87,0,0,0,0,58.32,0,0,0.69
 48-58,0,0,0,8.18,0.69,0,168.54,0,0,13.06,0,0,0.47,0,0,0,0.5,0,27.94,1.82,6.24,171.96,0,4.86,1.4,0,6.62,0,0,0,0,27.72,0,0,9.26
 60-70,0,0,0,1.63,0,0,86.91,0,0.86,25.44,7.63,0,0,0,0,0,0,0,11.67,0,1.47,98.84,0,0,0.76,0,1.7,0,0,0,0,9.49,0,0,1.09
 72-82,0,0,0,0.51,0,0,30.56,0,0,2.82,0.49,0,0,0,0,0,0,0,9.15,3.93,1.25,37.3,0,6.7,1.6,0,1.03,0,0,0,0,1.57,0,0.76,10.31
 84-94,0,0,0,12.77,0,0,33.4,0,2.54,2.96,0,0,0,0,0,0,0,0,22.13,3.12,6.86,49.54,0,2.06,2.22,0,1.97,0,1.09,0,0,0,0,0,3.62
 96-106,0,0,0,0.58,0,0,19.85,0.9,0,0,2.29,0,0,0.95,0,0,2.09,0,8.95,0.59,2.11,30.76,0,2.21,0.74,0,6.2,0,0,0,0,0,0,0,0.65
108-118,0,0,0,2.22,0,0.52,18.42,0,0,5.32,0,0,0,0.63,0.41,0,0,0,12.12,0,1.44,61.25,0,1.92,0.89,0,0.44,0,0.9,0,0,0,0.81,0,4.83
120,0,0,0,3.9,1.32,0,32.35,0,0,20.7,0,0,0,0,0,0,0,13.41,7.69,0,7.83,48.66,0,0,0,0,0,0,0,0,0,0,0,0,3.52
