stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.64,0,6.7,0,0,0,0,30.55,0,13.29,0,0,0
 10-12,5.93,0,8.63,0,7.51,0,0,0,0,20.15,0,15.26,0,0,0
 14-21,0,0,0,1.3,0,0,0,0,0,2.6,0,0,0,1.99,0
 24-34,0,0,0,0,0.6,0,0.66,0,0,16.2,0,0,6.57,0,0
 36-46,0,0,0,0,0,0,0,0,0.78,1.07,0.81,0,0,0,0
 48-58,0,0,0,0,8.29,0,0,0.38,0,10.43,0,0,0,0,0
 60-70,0,0,0,0,0.92,0,0,0,1.08,10.44,0,0,0,0,0
 72-82,0,0,0,0,0,0.9,0,0,0,14.95,0,0,0.55,0,0
 84-94,0,0,0,0,1.58,1.39,0,0,0,6.14,0,0,4.71,0,0
 96-106,0,5.6,0,0,0,0,0,0,0.66,0,0,0,5.93,0,1.21
108-118,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.76,0,0,0,0,0,11.06,0,0,0,0,0
