stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.75,56.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
  5-6,7.31,52.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,60.74,4.75,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74,126.52,0,0,240.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,51.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.81,816.36,0,0,149.11,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,39.17,4.93,0,0,0,0,0,0.82,1.14,0,0,0,0,0,33.93,0,0,71.21,23.29,878.23,2.58,0.81,4.88,0,2.75,8.39,0.81,0,19.58,28.2,0,0,0,0,0
 24-34,0,0,0,0,30.14,0.6,3.87,0,0,0.92,0,0,0,1.94,0,0,0,0,99.04,0,0,69.76,66.17,137.27,40.28,0.65,0,0,6.25,2.2,0,0.78,1.27,25,0,0,0,0,0
 36-46,0,0,0,0,5.44,0,4.91,4.97,1.88,5.29,0,0,0,0.63,0,2.56,0,10.02,133.3,0,0,53.01,40.57,142.31,60.07,1.7,0,0,9.39,0,0,6.3,0,11.45,0,0,0,0,0
 48-58,0.77,0,0.54,0,7.23,0,19.07,0.97,0,15.54,5.88,0,0,1.93,0,0,1.02,0,257.84,2.63,1.28,24.72,86.94,63.81,37.34,6.98,0,0,12.91,0,0,0,0,9.05,0,0,0,0,0
 60-70,0,0,0,0,3.61,0,37.28,0.74,0,35.46,2.29,0,0,1.8,0,0,0.77,0,381.47,0,12.64,20.14,89.06,58.79,51.05,9.43,0,0,1.39,0,0,0,0,8.15,0,2.78,0,0,0
 72-82,0,0,0,0,2.29,0,22.39,0,0,19.85,1.43,0,0,0.53,1.18,0,0,0,402.74,0,1.28,12.95,49.91,27.4,63.27,6.33,0,2.36,17.17,0,0,0,0,17.98,0,0.89,1.83,1.3,24.65
 84-94,0,0,0,0,22.32,0,22.23,1.45,1.6,14.7,1.31,0,0,2.67,2.15,0,0,0,353.85,0,2.38,14.8,41.57,45.57,46.12,5.74,0,0,31.26,0,0,0,0,6.47,0.61,2.51,0.69,0,0
 96-106,0,0,0,0,5.8,0,11.34,0,0,15.12,0,0,0,0.66,0.96,0,0.63,0.73,231.35,2.72,3.06,3.96,43.89,18.7,65.61,12.58,0,0,43.22,0,0,0.64,0,0,1.5,0.78,0.62,0,0
108-118,0,0,0,0,22.16,0,10.44,0.54,1.96,13.44,3.38,1.01,0,4.56,3.11,0,0,0,185.73,0,9.26,12.67,69.03,25.77,56.27,9.45,0,0,24.74,0,0,0,0,0.48,0.51,0,1.25,0.72,0
120,0,0,0,0,21.39,0,2.62,1.18,3.64,6.01,0,1.93,0,0,3.35,1.61,0,0,231.27,0,0,12.03,57.86,54,33.78,12.61,0,0,7.57,0,0,0,0,0,0,0,2.82,0,0
