stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,54.74,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,7.76,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.39,0,0,0,13.02,0,0,0,0,0,0,0,0
 14-21,0,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,2.15,20.67,0,0,0,0,0,0,0,0,7.33,0,0,0
 24-34,0,0,0,0,5.33,0.89,0.67,0,0,0,1.21,0,0,0,0,0,1.78,0,0,48.05,0,0.73,0.72,0,0,7.46,0.94,0.66,8.65,0,1.04,0
 36-46,0,0,0,0,6.26,0,0,1.88,0,0,0,0,0,0,0,0,2.28,0,0.86,50.86,0,0,0,0,0,0,0,0,8.32,0,0,0
 48-58,0,0,0.49,0,9.12,0,0,4.5,0,0,0.49,0,0,0,0,0,1.51,0.4,0,23.66,0,0,0,0,0,0,0,0,4.54,0,1.1,0
 60-70,0,0,1.07,0,6.05,0,0,3.35,0.57,0,0,0,0,0,1.2,0,10.07,0,0,14.53,0,0,0.57,0,0,0,0,0,4.41,0,0.58,0
 72-82,0,0,0,3.13,4.45,0,0.56,2.25,0,0,0,3.39,0,0,0,0,10.38,0,2.66,7.17,1.43,0,0,0,0,0,0,0,1.39,3.16,0.49,0.9
 84-94,0,0,1.32,0,0.57,0,0,1.19,1.16,0,0,0.59,0,0,0,1.35,2.31,3.22,0.77,37.91,0,0,0,0,0,0,0,0,0,9.63,0,1.77
 96-106,0,0,1.76,1.13,4.8,0,0,0,0,0,0,1.56,0,0,0,0,0.59,8.55,2.7,4.43,0,0,0,0,0,2.17,0,0,0,7.4,3.62,1.1
108-118,0,0,5.21,0,4.05,2.19,0,0,1.95,0,0.89,4.46,0.44,0.63,0,0,2.95,1.21,0.57,6.48,0,1.44,0,0,0,1.42,0,0,0,1.1,4.71,0.89
120,0,0,0,0,1.67,0,0,0,1.31,0,0,1.42,0,0,0,1.54,1.77,4.81,0,23.64,0,0,0,0,5.29,0,0,0,0,0,0,15.52
