stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,3.8,0,0,0,0,0,0,0
 10-12,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,40.48,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.14,0,1,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,21.21,0,0,0,0,0
 24-34,0,0,178.43,2.73,1.75,0,1.13,0,0,0,0,1.89,0,0,0,14.21,0.97,0,0,0,0,35.94,3.48,0,0,0,0
 36-46,0,0,390.85,2.38,14.04,1.09,0,0,0,0,0,1.86,2.25,0,0.6,16.19,1.52,0.67,0,0,0.99,8.48,0.68,0,0,0,0
 48-58,0,0,152.81,4.35,38.53,0,3.29,0,0.93,0,0,0.47,1.58,0,2.91,19.39,0,0,0,0,0,0,5.69,0,0,3.98,4.41
 60-70,0,0,196.69,14.21,14.41,0.71,0.78,0.58,0,0,0,2.06,2.92,0,0,11.49,0,0,2.03,0,0,0,1.49,0.61,0,0,0
 72-82,0,0,127.34,11.53,13.45,0,6.29,1.32,0,0,9.85,10.03,0.5,0,0.54,13.2,0,4.56,0,0,1.97,0,0,3.34,0,0,0
 84-94,0,0,271.55,4.61,25.86,0,0,2.53,0,0,4.63,2.94,0.71,0,0,8.4,0,0.56,0.72,0,0,0,0,6.21,0,0,0
 96-106,0,0,236.06,23.69,22.99,0,0,1.69,0,2.8,5.75,5.78,3.56,0.88,0,6.76,0,8.38,0,0,2.19,0,0,9.36,0,0.92,0
108-118,0,0,233.89,7.31,30.72,0.65,4.31,7.39,0,0,1.03,2.25,3.18,0,0.59,11.62,0,7.61,0,0,0,0,0,11.42,1.35,0,0
120,0,0,109.16,1.54,13.3,0,0,5.27,0,0,4.09,2.4,4.57,0,0,21.24,0,1.46,0,0,0,0,0,3.74,0,0,0
