stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.5,0,8.66,0,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.85,0,0,0,56.56,3.89,0,0,0,0,0,0,0,0,0
 10-12,29.24,0,21.3,0,20.3,0,39.81,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,593.07,40.94,0,0,398.35,0,4.8,0,22.41,0,0,0,0,0,0
 14-21,0,0,1.74,30.74,4.06,0,20.45,0,0,0,6.98,0,0,0,0,3.6,0,0,0,0,4.54,0,0,4.18,495.91,23.08,0,0,15.58,5.57,0,6.63,0,2.16,6.59,92.69,0,0,0
 24-34,0,0,0.61,11.98,0,0,80.04,0,0,0,13.33,0.73,0,0.67,0,13.21,0,0,10.16,0,22.49,0,0,9.46,970.01,2.66,0.63,5.84,0,40.57,0,0,1.08,0,0,123.72,0,0,0
 36-46,0,0,0,0.63,0,0,338.3,0,0,0,30.43,0,0,0.57,0,9.41,0,0,0,0,21.3,0,0,2.44,602.85,0,1.82,1.62,0,77.45,1.46,0,0,0,0,107.21,0,0.56,0
 48-58,0,0,0,5.78,0,0,370.65,0,2.55,1.04,21.96,0,0,0,0,6.03,0,0,3.98,7.82,18.59,2.78,0.45,1.68,206.91,0,0,2.44,0,77.78,0,0,0,0,0,45.83,0,0.87,0
 60-70,0,0,0,2.32,0,0,312.96,0,4.81,0,101.94,2.01,0,0,0,7.54,0,1.39,0,0,7.66,2.85,0,0,84.11,0,0,5.54,0,104.95,0,0,1.95,0,0,8.58,0,0,0.81
 72-82,0,0,0,3.04,0,0,171.09,1.29,0,0,84.98,0.61,0,0,0,8.87,0,0.86,0,0,2.96,0.49,0,4.95,57.88,0,0,11.49,0,116.67,0,0,0,0,0,10.83,0,0,0.52
 84-94,0,0.66,0,6.72,0,0,153.86,0,1.43,0,67.57,3.03,0.91,0,1.76,27.51,0,2.83,0,0,6.01,11.98,0,0,58.19,0,1.89,4.49,0,353.27,0,0,0.87,0,0,2.9,1.03,0,0
 96-106,0,0,0,16.92,0,0,134.93,0,1.76,0,127.98,2.92,0,0,6.64,47.02,1.36,11.74,0,0,14.82,5.61,0,0,36.58,0,0,0.57,0,308.35,0,0,0.7,0,0,4.33,0,0,2.02
108-118,0,0.85,0,13.47,2.34,0.5,167.11,0,2.62,0,119.45,10.54,0,0,2.88,39.95,0.79,2.77,0.57,0,19.53,4.98,0.91,1.1,60.09,0,1.41,4.3,0,202.87,0,0,0,0,0,0,2.12,2.1,0
120,0,0,0,8.06,0,0,181.22,0,0,0,101.58,7.66,0,0,0,37.03,0,17.46,0,0,6.23,2.67,0,1.74,51.65,0,0,20.65,0,174.1,0,0,0,0,0,0,0,0,0
