stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,301.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0
  5-6,8.91,216.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,0,4.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0,0,0,20.4,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.7,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0.88,2.72,0,1.11,53.72,1.23,0,0,0,0,0,0,8.64,0,0,0,0,5.37
 24-34,0,0,0.84,0,10.59,0,0,6.29,0,0,0,2.45,0,0,0,0,0,0,0,35.51,0.92,0,0,1021.71,0,8.15,0.84,0,0,0,0.66,167.86,0,0,4.17,0,1.01
 36-46,0,0,0,0,1.61,0,0,20.73,0,0,0,12.65,0,0.57,0,0,0,0.77,0,189.97,3.3,0,0,2046.82,0.56,47.21,0,0,0,0,0,387.81,0,0,1.92,0,0
 48-58,0,0,0.49,0,5.79,0.65,0,111.68,0.6,0,0.54,17.43,0,0,0,0,5.08,0,0,118.95,11.38,0,6.02,2268.79,0,68.77,0,0,0,10.65,0,448.96,0,0.64,0,0,9.71
 60-70,0,0,0,0,3.24,0,0,315.18,0,3.78,0,11.64,0,0,9.51,0,3.99,0,7.32,111.38,14.86,16.15,2.62,2798.66,0,15.26,0,0,0,0,0,419.49,0,0,0,0,14.65
 72-82,0,0,2.36,0,16.1,9.83,0,610.87,2.7,0,1.31,48.35,4.27,0,0,0,2.18,0,0,72.3,67.49,74.49,0.62,3256.47,0,33.27,0,0,0,3.11,0,321.04,1.21,1.99,7.18,1.13,25.54
 84-94,0,0,1.76,0,8.81,2.43,0,469.75,1.58,0,0,79.7,1.94,0,5.28,0,1.84,0,0,166.06,37.72,122.99,0.98,2322.89,5.19,48.08,2.44,0,0,2.9,0,204.67,0,2.23,3.52,1.97,0
 96-106,0,0,2.92,0,15.1,31.84,0,401.99,0.93,13.09,0,86.39,5.23,0,0.7,0.73,0,0,0,62.29,37.53,188.15,2.04,1945.56,0,96.83,0,0,0,18.11,0,77.16,0,6.99,1.19,9.9,0.6
108-118,0,0,4.72,0,18.43,0,1.64,400.85,0.51,1.53,3.12,72.84,0.93,0,5.05,0,0.83,0,3.33,98.21,35.67,230.61,2.39,3076.43,1.15,49.6,0,0,0,2.44,0,90.11,0.55,4.4,0.53,1.6,0
120,0,0,3.52,0,5.97,6.18,13,297.05,0,0,0,79.82,0,0,14.73,0,6.33,0,18.25,16.46,63.08,491.55,12.88,3530.82,0,31.41,0,0,8.76,4.37,0,30.24,0,0,3.6,0,4.96
